c5	remark
19850104015529I	AS PILOT ACTIVATED LANDING LIGHT HE BUMPED GEAR SWITCH. LANDED GEAR UP. SWITCH LOCK FAILED, INDICATOR LIGHT INOP.
19850104028439A	DURING ENGINE COOL DOWN, PASSENGER EXITED AIRCRAFT AND WALKED INTO TAIL ROTOR.
19850105002509A	TRIED TO TAKE OFF ON A SLIPPERY RUNWAY IN A GUSTY CROSSWIND. SLID OFF INTO A SNOWBANK.
19850105005749I	PILOT EXTENDED FLAPS INSTEAD OF GEAR FOR LANDING.
19850105005799I	MADE UNEVENTFUL LANDING ON FREEWAY MEDIAN AFTER BEING ENVELOPED IN RAPIDLY MOVING FOGBANK.
19850105008759A	DURING LANDING, BALLOON HIT A TREE. PASSENGER SERIOUSLY HURT WHEN BASKET OVERTURNED AND OTHERS FELL ON HER.
19850105012749I	AIRCRAFFT SWERVED OFF RUNWAY ON ROLLOUT. PILOT MAY HAVE HAD LEFT FOOT ON BRAKE.
19850105019239A	ENGINE QUIT AFTER TAKEOFF. HIT TREE, POWERLINES, GROUND. FUEL LINE TO CARBURETOR FULL OF WATER.
19850105024259A	RIGHT OF CENTERLINE, VARIOUS OVERCORRECTIONS WITH RUDDER, SLID ON ICE PATCH INTO SNOW BANK AT SIDE OF RUNWAY.
19850105026449I	ENGINE LOST POWER DURING CLIMB. LANDED ON ROAD. WATER FOUND IN FUEL TANKS.
19850105048759A	AIRPLANE STALLED WHILE TRYING TO AVOID OTHER AIRCRAFT. BOTH AIRCRAFT AT LOW ALTITUDE.
19850105068699I	AIRCRAFT WAS FLOWN WITH GEAR EXTENDED TO MAINTENANCE BASE. CONSIDERED UNAIRWORTHY BY GADO.
19850105070759A	LANDED LONG DEPARTING END OF RUNWAY WITH NO EVIDENCE OF SKID MARKS. NO MECHANICAL MALFUNCTIONS FOUND.
19850106000179A	LOSS OF POWER IN CRUISE. LANDED IN BIG TREE. HOLDDOWN STUDS ON NR 2 CYLINDER BROKEN.
19850106000199A	FUEL TANK OUTLET UNPORTED DURING DIVE TO RELEASE TOW BANNER. ENGINE QUIT. HARD LANDING WITHIN AIRPORT BOUNDARY.
19850106000239A	LOST DIRECTIONAL CONTROL ON LANDING. SEAT BACK FAILED PRIOR TO LANDING. RAN OFF SIDE OF RUNWAY, COLLAPSED LEFT GEAR
19850106000329A	ON LANDING ROLLOUT, AIRCRAFT FISHTAILED AND TURNED TO RIGHT ON BRAKE APPLICATION. LEFT SIDE OF RUNWAY, HIT MEDIAN.
19850106000591A	FIRST SOLO LANDING, SWERVED OFF SIDE OF RUNWAY, STRUCK TAXIING AIRCRAFT N3854D. FAA DISCUSSION WITH INSTRUCTOR.
19850106000592A	WHILE TAXIING, WAS STRUCK BY N94560, WHICH HAD JUST LANDED AND SWERVED OFF SIDE OF RUNWAY.
19850106002189I	AIRCRAFT ON ROLLOUT VEERED OFF RUNWAY. BOTTOM OF WING STRUCK RUNWAY LIGHT.
19850106002399I	WHILE TAXIING ON SNOW, SLUSH AND WATER COVERED SURFACE, NOSE WHEEL FELL INTO A HOLE. DAMAGE TO PROPELLER.
19850106002439I	ENGINE RAN ROUGH FROM PICKING UP ICE. RETURNED TO FIELD. CARBURETOR HEAT NOT A HELP.
19850106002449I	HYDRAULIC LOW PRESSURE LIGHT CAME ON. RETURNED FOR LANDING. HYDRAULIC OIL PRESSURE HOSE SPLIT.
19850106004659I	HEARD LOUD METALLIC SNAP WITH GEAR EXTENSION. NOSE GEAR PARTIALLY EXTENDED. ATTACHMENT ANGLE CRACKED ON RIVET LINE.
19850106006399I	LOST ELECTRICAL, DIVERTED TO VFR AIRPORT. EXHAUST LEAKS MELTED WIRING HARNESS, BURNED UP STARTER, DRAINED BATTERY.
19850106008909I	NOSE WHEEL DID NOT RETRACT FULLY AFTER TAKEOFF. COLLAPSED ON LANDING. LOCK ASSEMBLY BOLT FELL OFF, DISENGAGED.
19850106010739I	ENGINE FIRE PUT OUT BY EXTINGUISHING AGENT. CLOGGED OIL SCREEN AND BEARING FAILURE IN HOT SECTION. CHANGED ENGINE.
19850106021599A	STRUCK DOG DURING TAKEOFF ROLL. DAMAGE TO NOSE GEAR CAUSED COLLAPSE ON ABORTED TAKEOFF.
19850106067169I	STRUCK A SNOWBANK DURING LANDING ROLLOUT ON TURF RUNWAY.
19850107000359A	ENCOUNTERED STEEP MOUNTAINOUS TERRAIN AND ADVERSE WEATHER. IMPACTED A MOUNTAINSIDE. LACKED CURRENT WEATHER REPORT.
19850107000579A	FLEW INTO  LOWERING VISIBILITY AND CEILING AS FORECASTED. STRUCK TREES AND RISING TERRAIN.
19850107001249A	WING DROPPED DURING TURN IN PATTERN. NOSE FELL THROUGH AND PLANE STRUCK GROUND. TEMP INVERSION, PROBABLE WINDSHEAR.
19850107001709I	LEFT FOLLOWED BY RIGHT ENGINES LOST POWER. RESTART ON LEFT ENGINE, RIGHT SHUTDOWN. SAFE LANDING MADE.
19850107002429I	WHILE EN ROUTE LEFT OIL PRESSURE LIGHT ILLUMINATED. ENGINE SHUTDOWN.OIL BLOWING OUT OF BREATHER. REPLACED ENGINE.
19850107002459I	ENGINE ANTI ICE LIGHT WENT OUT. SHUT OFF AUTOIGNITION. ENGINE FLAMED OUT.INTAKE ANTI ICE INOP FROM LOOSE WIRE.
19850107005649I	ABORTED TAKEOFF WHEN MASTER CAUTION LIGHT CAME ON. PROBLEM CAUSED BY SPOILER DEPLOYMENT WHEN YOKE WAS MOVED.
19850107012589I	STUDENT RETRACTED GEAR INSTEAD OF FLAPS AFTER LANDING.
19850108000349A	CIRCLING AT LOW ALTITUDE PILOT TALKING TO PEOPLE ON THE GROUND. IMPACTED GROUND IN STEEP NOSE DOWN ATTITUDE.
19850108000399A	BOTH ENGINES RAN ROUGH AND LOST POWER SHORTLY AFTER TAKEOFF. MADE EMERGENCY LANDING. INDUCTION AIR ICING SUSPECT.
19850108002079I	PILOT LOST NOSE WHEEL STEERING AND PNEUMATIC PRESSURE. MAINTENANCE CHANGED O RINGS ON GEAR SWIVEL FITINGS, HOSE.
19850108002159A	SKI EQUIPPED PLANE STRUCK A SNOWBANK ON TAKEOFF. PILOT ABORTED BUT STRUCK A FISH SHACK.
19850108002169A	PILOT FOLLOWED WRONG HIGHWAY INTO RISING TERRAIN. DURING TURN WING STRUCK GROUND.
19850108002219I	ON FINAL, PILOT LOST NAV RADIOS EXCEPT LOCALIZER AND COULD NOT TRANSMIT. NICAD BATTERY WOULD NOT HOLD CHARGE.
19850108004519I	PILOT RAN OUT OF FUEL ON FINAL APPROACH. LANDED ON ROAD.
19850108004889I	HEARD NOISE OF ENGINE FAILURE, MADE WATER LANDING. FLOATS WOULD NOT DEPLOY. AIRCRAFT BROKE APART WHILE BEING TOWED.
19850108006189I	SMOKE IN CABIN. RETURNED FOR LANDING. RAN UP ENGINE BUT COULD NOT DUPLICATE. SUSPECT DEICER FLUID IN ENGINE.
19850108007529I	FLIGHT INSTRUCTOR STUDENT RETRACTED GEAR INSTEAD OF FLAPS ON ROLLOUT.
19850108010389A	SOLO STUDENT LANDED ON SIDE OF RUNWAY TO AVOID GOPHER HOLES. LEFT MAIN CONTACTED SNOWBANK. AIRCRAFT NOSED OVER.
19850108019169I	BOTH ENGINES QUIT ON FINAL APPROACH, SAFE LANDING MADE. SUSPECT ENGINE ICING. CHANGE OF PROCEDURE ISSUED BY FACTORY
19850108025839A	ENGINE QUIT, LANDED ON ROAD THEN SLID DOWN SLOPE. FUEL GOVERNOR BYPASS VALVE LEAKING, BUT ABLE TO OPERATE NORMALLY.
19850109000479A	UNABLE TO COMPLETE TAKEOFF DUE TO DOWNDRAFTS AND WINDS. LANDED ON SLOPE, SLID DOWN, ROLLED ON ITS SIDE AND BURNED.
19850109000489A	UNABLE TO ABORT TAKEOFF DUE TO ICE AND TERRAIN . CLIMBED OVER EMBANKMENT BUT STRUCK DESERTED BUILDING, THEN GROUND.
19850109001259A	GEAR COLLAPSED AS AIRCRAFT SLID SIDEWAYS ON LANDING. STRUCK RUNWAY LIGHTS PUNCTURING FUEL CELL, SMALL FIRE ERUPTED.
19850109001269A	NOSE WHEEL COLLAPSED ON LANDING AFTER STRIKING SNOWBANK ON APPROACH END OF RUNWAY AT DUSK.
19850109001769I	WHILE TURNING FROM TAXIWAY TO TAXIWAY LEFT MAIN GEAR TRUCK BECAME STUCK IN MUD.
19850109002069I	RIGHT FIRE LIGHT CAME ON DURING START NO FIRE. MAINTENCE FOUND WIRES ON GENERATOR WARM. REPLACED GENERATOR WIRES.
19850109002369I	DURING ROLLOUT TWO TIRES ON RIGHT MAIN GEAR FAILED. ANTISKID BRAKE SYSTEM FAILED.
19850109004469I	UNSAFE RIGHT MAIN GEAR INDICATION. UNABLE TO EXTEND BY OTHER MEANS. COLLAPSED ON ROLLOUT. GEAR WOULD NOT LOCK DOWN.
19850109006479I	DID NOT VERIFY SAFE GEAR INDICATION. LANDED WITH GEAR TRAILING.
19850109006609I	ENGINE SHUTDOWN DUE TO LOW OIL PRESSURE INDICATION. UNEVENTFUL LANDING. REPLACED ENGINE.
19850109009109I	LANDED GEAR UP WHILE PRACTICING TOUCH AND GO LANDINGS.
19850109016349A	ENGINE QUIT ON TEST FLIGHT AFTER OVERHAUL. HIT LEVEE AND FLIPPED OVER IN FIELD.FUEL LINE FITTING TO CARB BACKED OUT
19850109017219I	NOSE GEAR COLLAPSED DURING TAKEOFF ROLL. CAUSE UNDETERMINED.
19850109077869A	TOO HIGH ON INCORRECT VOR APPROACH BEGAN GO AROUND. BELEIVED LOW FOR OBSTCLE CLEARANCE PULLED UP IN CLOUD. STALLED.
19850110000509A	STRUCK JOSHUA TREE AND GROUND AFTER ENGINE QUIT ON FINAL APPROACH. FUEL SELECTOR ON EMPTY TANK.
19850110000519A	ON TAKEOFF ROLL PILOT USED AILERON CONTROL AND AIRCRAFT GROUND LOOPED. AILERON BELLCRANK IMPROPERLY INSTALLED.
19850110000529A	CONTINUED FLIGHT INTO IFR CONDITIONS OVER WATER AND DARK NIGHT. INADVERTENTLY FLEW INTO THE WATER.
19850110001139A	ENGINE AT IDLE, PILOT CLEANING WINDSHIELD. AIRCRAFT SLID OFF NURSE TRUCK AS PILOT REENTERED COCKPIT TOO LATE.
19850110002239A	LOST ENGINE POWER DURING CRUISE. STRUCK TREES DURING LANDING IN ORCHARD. FUEL LINE AFT OF WOBBLE PUMP BROKEN.
19850110004879I	EXPERIENCED POWER LOSS. LANDED ON BEACH. CRACK FOUND IN FUEL LINE PN6875631.
19850110005789I	AIRCRAFT WOULD NOT PRESSURIZE IN ANY OF FOUR MODES. RETURNED FOR LANDING. BROKEN CLAMP ON PACK SUPPLY MANIFOLD.
19850110005839I	FLUCUATION IN TORQUE AND OIL PRESSURE GAUGES. OIL LEAK FROM ENGINE NACELLE. LOOSE OIL VENT LINE AT TORQUE METER.
19850110015469I	ENGINE QUIT, RESTART SEVERAL TIMES WITH PARTIAL POWER. SAFE LANDING. WATER IN TANKS. LOW FUEL. STC FOR AUTO GAS.
19850110054839A	DURING TAXI AFTER LANDING, CONTROL WAS LOST IN GUSTY WIND. PILOTS MEDICAL AND BIENNIAL EXPIRED.
19850111000539A	AFTER TAKEOFF AT NIGHT,ENGINE SPUTTERED, AIRCRAFT BANKED AND IMPACTED GROUND. NO MECHANICAL MALFUNCTIONS FOUND.
19850111000639A	CRASHED ON AIRPORT. NO DETAILS. STOLEN AIRCRAFT. PILOT FLED THE SCENE.
19850111001149A	LANDED GEAR UP AFTER BEING UNABLE TO EXTEND GEAR. RELIEF VALVE SPRING AND BALL IN POWER PACK MALFUNCTIONED.
19850111002039I	DURING TAKEOFF, OUTBOARD WHEEL CAME OFF LANDING GEAR. RETURNED TO MAKE UNEVENTFUL LANDING.
19850111002059I	CREW DIVERTED TO FAIRBANKS BECAUSE OF AFT CARGO COMPARTMENT FIRE WARNING LIGHT.NO FIRE OCCURRED. FALSE INDICATION.
19850111002109A	WHILE CIRCLING AWAITING CLEARANCE, ICE FORMED ON AIRCRAFT. PILOT FAILED TO MAINTAIN ALTITUDE AND CONTACTED GROUND.
19850111002119I	SMOKE LIGHT CAME ON, BELL SOUNDED, RETURNED FOR LANDING. SUSPECT SKYDROL CAME INTO CONTACT WITH HOT AIR DUCT.
19850111002529I	AIRCRAFT SLID OFF TAXIWAY AND STRUCK A PARKED AIRCRAFT N82435 WHILE TAXIING TO BE DEICED.
19850111002999I	WHILE TAXIING HAD SMOKE FROM INSTRUMENT PANEL IN COCKPIT. SHORT FOUND ON ADF PUSH BUTTON SWITCH.
19850111004489I	PILOT REPORTED A PHASE RIGHT BUSS FAIL LIGHT ON. LANDED. REPLACED RIGHT VOLT REGULATOR AND NR 2 ENG. GENERATOR.
19850111006069I	DURING DESCENT CARB HEAT WAS APPLIED. UPON REACHING PATTERN ALTITUDE NO RESPONSE TO THROTTLE MOVEMENT.
19850111008719I	LOST ALL RADIOS EN ROUTE. DESCENDED AND FOUND AIRPORT. RADIO MASTER CIRCUIT BREAKER WENT BAD.
19850111017809I	DIVERTED AFTER INABILITY TO GET A SAFE INDICATION ON GEAR. GEAR COLLAPSED ON LANDING. ACTUATOR CAP CRACKED.
19850112000609A	FUEL EXHAUSTED DURING LOCAL PRACTICE IN AREA. FLIPPED OVER AFTER FORCED LANDING IN SNOW COVERED AREA.
19850112000679A	LANDED, TURNED OFF ON TAXIWAY. AIRCRAFT STRUCK AN AIRPLANE TIED DOWN ON THE NORTH SIDE OF THE TAXIWAY.
19850112000689I	DURING PRACTICE MISSED APPROACH WASTE GATES STUCK OPEN DUE TO COLD TEMPERATURE. ENGINES SURGED. LANDED IN FIELD.
19850112000719A	AFTER JUMP RUN, CLOSED THROTTLE, APPLIED CARBURETOR HEAT AND SPIRALED DOWN. DID NOT CLEAR ENGINE. LANDED IN FIELD.
19850112001179A	LEFT GEAR STARTED TO COLLAPSE DURING TAKEOFF ROLL. CONTINUED BUT UNABLE TO EXTEND FOR LANDING. CAUSE UNREPORTED.
19850112002179A	LANDED ON DRY RIVERBED AFTER ENGINE QUIT DUE TO FUEL STARVATION. FUEL NOT VISUALLY CHECKED, FORECAST WIND WRONG.
19850112004819I	RAN OUT OF FUEL AT NIGHT. LANDED ON INTERSTATE HIGHWAY.
19850112006199I	RETURNED TO LAND AFTER FIRE WARNING NR 3 ENGINE. PROBABLE INDICATION PROBLEM.
19850112007429I	CANOPY SEPARATED FROM AIRCRAFT STRIKING OCCUPANTS. CANOPY CAME TO REST IN REAR SEAT. SAFE LANDING.
19850112008709I	LOST DIRECTIONAL CONTROL ON SNOW PACKED RUNWAY. LEFT WHEEL FAIRING MAY HAVE BEEN SNOW PACKED.
19850112009119I	PILOT DISTRACTED ON FINAL BY BACK SEAT PASSENGER. AIRCRAFT STRUCK 2 STATIC WIRES AND LANDED WITH NOSE WHEEL DAMAGE.
19850112010589I	AIRCRAFT SLID SIDEWAYS ON ROLLOUT. NOSE GEAR COLLAPSED. SNOW REMOVAL IN THE PROCESS.
19850112011749I	GEAR COLLAPSED ON POSSIBLE HARD LANDING. METAL GAUGE DIFFERENT ON STRUTS. MAY HAVE BEEN A FACTOR.
19850113000619A	ATTEMPTED TAKEOFF FROM REMOTE HILLY SITE AFTER WEATHER IMPROVED.OVERGROSS, BOUNCED ON SKIDS, SLID DOWN HILL.
19850113000669A	ROLLED ONTO SOFT SNOW ON RUNWAY DURING TAKEOFF. LIFTED OFF, SETTLED ONTO PLOWED FIELD, NOSED OVER ONTO BACK.
19850113000699A	ENGINE RAN ROUGH AFTER TAKEOFF. CARBURETOR HEAT APPLIED AND ENGINE QUIT. STRUCK ROAD SIGN DURING LANDING.
19850113000709A	IMPROPERLY ALIGNED, WENT AROUND, STALLED INTO PARKED AIRCRAFT. THIS CROSSCOUNTRY NOT AUTHORIZED BY INSTRUCTOR.
19850113000769A	AFTER LANDING ON 3RD TRY BLOWN TO THE LEFT, HIT SNOW BANK. TWO NEARBY AIRPORTS WITH RUNWAYS MORE ALIGNED WITH WIND.
19850113000779A	PRECAUTIONARY LANDING DUE TO INCREASING WIND SPEED. WIND DRAGGED BALLOON OVER A FENCE AND DRAPED IT OVER POWERLINE.
19850113000799A	STALLED DURING FLARE, BOUNCED, VEERED OFF SIDE OF RUNWAY, ROLLED INTO POND. CENTER OF RUNWAY LOWER THAN BOTH ENDS.
19850113001889I	FORGOT TO EXTEND GEAR FOR LANDING.
19850113002409I	WHILE ATTEMPTING TO LAND ON FROZEN LAKE WITH SUN IN EYES STRUCK WIRE. MINOR DAMAGE TO SPINNER AND PROPELLER.
19850113004509I	PILOT USED EMERGENCY EXTENSION FOR LANDING GEARS. ROD END OF MAIN GEAR ACTUATOR SEPARATED. GRUMMAN PNNR159HM101571.
19850113005699I	LOST DIRECTIONAL CONTROL. RAN OFF SIDE OF RUNWAY DAMAGING NOSE WHEEL AND PROPELLER.
19850113012399I	LOUD NOISE AND VIBRATION FROM ENGINE. THREADS OF BOLTS HOLDING PROPELLER TO ENGINE FLANGE HAD STRIPPED.
19850113013329I	LOST DIRECTIONAL CONTROL AFTER ICE PATCH ON RUNWAY. LEFT MAIN AND NOSE GEAR WENT INTO SNOWBANK. NOSE GEAR COLLAPSED
19850113021619A	HIT TREES, WIRES, GROUND AFTER TAKEOFF. ENGINE ROUGH, BLACK SMOKE FROM EXHAUST. OVER RICH MIXTURE, CAUSE UNKNOWN.
19850113025289I	RIGHT MAIN RETRACTED DURING LANDING ROLL. SPECIFIC CAUSE NOT FOUND. EXCEPT LOCKING HOOKS HAD A BIND.
19850114000739A	AIRCRAFT PORPOISED ON LANDING AND DURING GO AROUND ATTEMPT STRUCK FENCE. PILOT LEFT SCENE AFTER GIVING FALSE INFO.
19850114000809A	COLLIDED WITH 3 PARKED AIRCRAFT WHILE LEAVING TIEDOWN SPOT. RIGHT BRAKE PAD WORN OUT COMPLETELY.
19850114000859A	FLEW INTO CANYON AND UNABLE TO CLIMB OUT. LANDED IN TREES. PILOT HAD NO MOUNTAIN FLYING EXPERIENCE.
19850114002249A	LANDED IN SNOW COVERED MEADOW. TAILWHEEL STRUCK A SMALL TREE HEAD, DAMAGED TAIL SECTION.
19850114004499I	TAXIING IN, PILOT REPORTED HYDRAULIC PROBLEMS. MAINTENANCE REPLACED DAMAGED O RING IN NOSE STEERING CYLINDER.
19850114005739I	NOSEWHEEL LEFT TAXIWAY AND SANK IN MUD. PILOT UNABLE TO GET ON RUNWAY PER INSTRUCTIONS DUE TO DEEP SNOW PILE.
19850114005769I	AIRCRAFT WEATHERVANED INTO WIND WHILE MAKING TURN ON ICY RUNWAY. NOSE GEAR WENT OFF INTO SNOW.
19850114007219I	GEAR COLLAPSED ON ROLLOUT. GEAR FUNCTIONED NORMALLY DURING FUNCTIONAL TEST. WARNING HORN WAS FOUND TO BE INOP.
19850114008109A	LAST REPORTED POSITION WAS OVER WATER WITH NO SIGNIFICANT WEATHER. PRESUMED TO BE FATALLY INJURED.
19850114010549I	UNSUCCESSFULLY ATTEMPTED TO HAND PROP AIRCRAFT. TURNED MAGS OFF. PROP KICKED WHEN MOVED,STRUCK OTHER PILOT ON HEAD.
19850114012529I	NOSE WHEEL FAILED TO EXTEND FOR LANDING. ICE ACCUMULATION ON LEADING EDGES.
19850114015249A	CABIN DOOR OPENED ON TAKEOFF. TOUCHED DOWN WITH GEAR UP, OTHER AIRCRAFT ON RUNWAY. CLIMBED OVER AIRCRAFT AND LANDED
19850114019749A	LANDED SHORT ONTO DISPLACED SNOW COVERED THRESHOLD AND FLIPPED OVER.
19850114026629A	EMERGENCY LANDING ON A ROAD DUE TO CARBURETOR AND AIRFRAME ICING. HIT A ROAD MARKER, DITCH, FLIPPED OVER.
19850114039679I	PILOT LIFTED OFF EARLY WITHOUT PROPER AIRSPEED TO CLIMB. AIRCRAFT CONTACTED RUNWAY WITH MINOR GEAR AND FLAP DAMAGE.
19850115001169A	A PIECE OF AN UNKNOWN GEAR TOOTH CAUSED FAILURE OF CYLINDER CONNECTING ROD.  PILOT DITCHED AIRCRAFT IN OCEAN.
19850115002049I	SMOKE IN COCKPIT WHILE TAXIING. HEATER CYCLING SOLENOID STICKING CAUSING OVERHEAT CONDITION.
19850115005529I	DURING TAXI, RIGHT MAIN LANDING GEAR COLLAPSED. THE DOWN LOCK WAS DEFECTIVE.
19850115011769I	RIGHT MAIN WOULD NOT LOCK DOWN. LANDED GEAR UP. INBOARD EXTENSION ACTUATOR TRUNNION CASTING BROKEN.
19850115061689A	SUDDEN POWER LOSS DURING DARK NIGHT CRUISE FLIGHT. LANDED IN A FIELD. NUMBER 2 CYLINDER PISTON PIN HAD FAILED.
