CODE	LONG DESCRIPTION	SHORT DESCRIPTION
NE49	TECH & ADMIN SUP STAFF ANE-103	NE49
NE56	ENGINE CERTIFATION OFFICE ANE-140 	NE56
NE57	BOSTON ACO ANE-150          	NE57
NE58	NEW YORK ACO ANE-170        	NE58
NE70	REGIONAL SECURITY PROG BOSTON	NE70
NE71	BOSTON LOGAN INTL MA     CASFO	NE71
NE78	BOSTON MA ANE-710           	NE78
NE79	BOSTON MA ANE-710           	NE79
NE80	REGIONAL ARPT PROG BOSTON MA	NE80
NE90	REGNL FLT SURGEON BOSTON MA 	NE90
NE91	DRUG ABATEMENT ANE-302      	NE91
NMRC	NM MOUNTAIN REG CNSL SEATTLE	NMRC
NM00	REGIONAL FLT STDS OFC SEATTLE	NM00
NM01	SEATTLE WA                FSDO	NM01
NM02	SPOKANE WA                FSDO	NM02
NM03	DENVER CO                 FSDO	NM03
NM04	CASPER WY                 FSDO	NM04
NM05	HELENA MT                 FSDO	NM05
NM06	BILLINGS MT               FSDO	NM06
NM07	SALT LAKE CITY UT         FSDO	NM07
NM08	BOISE ID              NOW NM11	NM08
NM09	PORTLAND OR               FSDO	NM09
NM10	EUGENE OR                 FSDO	NM10
NM11	BOISE ID                  FSDO	NM11
NM13	SPOKANE WA                FSDO	NM13
NM40	NM CERT DIRECTRATE SEATTLE WA	NM40
NM41	EVERETT WA                MIDO	NM41
NM42	RENTON WA                 MIDO	NM42
NM43	AUBURN WA                 MISO	NM43
NM46	LOS ANGELES CA            MIDO	NM46
NM47	LONG BEACH CA             MIDO	NM47
NM48	VAN NUYS CA               MIDO	NM48
NM50	PHOENIZ AZ MIDO             	NM50
NM51	SEATTLE WA - MIDO           	NM51
NM56 	SEATTLE ACO ANM100S         	NM56
NM57	DENVER ACO ANM-100D         	NM57
NM58	LOS ANGELES ACO ANM-100L    	NM58
NM70	REGIONAL SEC PROG SEATTLE WA	NM70
NM71	SEATTLE-TACOMA INTL WA   CASFO	NM71
NM72	DENVER CO                CASFO	NM72
NM73	DENVER DISU                 	NM73
NM78	SEATTLE WA ANM-710          	NM78
NM79	SEATTLE WA ANM-710       CASFO	NM79
NM80	REGIONAL APRT OFC SEATTLE WA	NM80
NM81	DENVER CO AIRPORT DIST OFFICE	NM81
NM82	HELENA MT AIRPORT DIST OFFICE	NM82
NM83	SEATTLE WA AIRPORT DIST OFFICE	NM83
NM90	REGIONAL FLT SURGEON SEATTLE	NM90
NM91	DRUG ABATEMENT ANM-304      	NM91
SD00	SELF DISCLOSURE FLT STANDARD	SD FLT STND
SORC	SOUTHERN REGION COUNSEL ATLANTA	SORC
SO00	REGIONAL FLT STDS OFC ATLANTA	SO00
SO01	LOUISVILLE KY             FSDO	SO01
SO03	NASHVILLE TN              FSDO	SO03
SO05	WINSTON-SALEM NC          FSDO	SO05
SO06	RALEIGH NC                FSDO	SO06
SO07	JACKSON MS                FSDO	SO07
SO08	CHARLOTTE NC              FSDO	SO08
SO09	BIRMINGHAM AL             FSDO	SO09
SO11	ATLANTA GA                FSDO	SO11
SO13	COLUMBIA SC               FSDO	SO13
SO14	ST PETERSBURG FL          FSDO	SO14
SO15	ORLANDO FL                FSDO	SO15
SO16	JACKSONVILLE FL           FSDO	SO16
SO17	FT LAUDERDALE FL          FSDO	SO17
SO19	MIAMI FL                  FSDO	SO19
SO21	SAN JUAN PR               FSDO	SO21
SO23	MIAMI INTL FIELD OFC IFO    	SO23
SO25	MEMPHIS TN  FSDO            	SO25
SO27	ATLANTA GA - DELTA CMO      	SO27
SO31	FS EVALUATION SVC OFC-ATLANTA	FSESO - ATLANTA GA
SO33	CHARLOTTE NC - FSDO         	SO33
SO64	ORLANDO FL                  	SO64
SO70	REGINAL SECURITY PROG ATLANTA	SO70
SO71	REGION SEC STAFF ATL GA  CASFO	SO71
SO72	SECURITY FLD OFC STAFF ATL GA	SO72
SO73	ATLANTA GA INTL ARPT     CASFO	SO73
SO74	MIAMI INTL FL            CASFO	SO74
SO75	SAN JUAN PR INTL         CASFO	SO75
SO76	TAMPA INTL FL            CASFU	SO76
SO77	INTERNATIONAL SECT MIAMI FL 	INTL SECT MIAMI FL
SO78	ATLANTA GA ASO-710          	SO78
SO79	ATLANTA GA ASO-710          	SO79
SO80	REGIONAL ARPT PROG ATLANTA GA	SO80
SO90	REGIONAL FLT SURGEON ATLANTA	SO90
SO91	ATLANTA ARTCC MEDICAL OFFICE	SO91
SO92	MEMPHIS ARTCC MEDICAL OFFICE	SO92
SO93	JACKSONVILLE ARTCC MED OFFICE	SO93
SO94	MIAMI ARTCC MEDICAL OFFICE  	SO94
SO95	DRUG ABATEMENT ASO-305      	SO95
SWRC	SOUTHWEST REGION COUNSEL FT WORTH	SWRC
SW00	REGIONAL FLT STDS OFC FT WORTH	SW00
SW01	ALBUQUERQUE NM            FSDO	SW01
SW02	DALLAS TX                   	SW02
SW03	BATON ROUGE LA            FSDO	SW03
SW05	DALLAS TX         GEN AVN FSDO	SW05
SW07	DFW AIRPORT TX        A/C FSDO	SW07
SW09	HOUSTON TX                FSDO	SW09
SW11	LITTLE ROCK AR            FSDO	SW11
SW13	LUBBOCK TX                FSDO	SW13
SW15	OKLA CITY OK              FSDO	SW15
SW17	SAN ANTONIO TX            FSDO	SW17
SW19	FT WORTH TX               FSDO	SW19
SW21	DFW AIRPORT TX             CMO	SW21
SW40	SW CERT DIRECTORATE FT WORTH	SW40
SW41	BETHANY OK                MIDO	SW41
SW42	FT WORTH TX               MIDO	SW42
SW43	SAN ANTONIO TX            MIDO	SW43
SW56	AIRPLANE CERT OFC      ASW-150	SW56
SW57	ROTORCRAFT CERT OFC    ASW-170	SW57
SW70	ASW-700 SECURITY PROG AREA  	SW70
SW71	DFW INTL ARPT TX         CASFO	SW71
SW72	HOUSTON TX INTERCONT     CASFO	SW72
SW73	ST ROSE (NEW ORLEANS) LA CASFU	SW73
SW78	FT WORTH TX ASW-710         	SW78
SW79	FT WORTH TX ASW-710         	SW79
SW80	REGIONAL ARPT PROG FT WORTH TX	SW80
SW84	FT WORTH TX ARPT OFFICE     	SW84
SW90	REGIONAL FLT SURGEON FT WORTH	SW90
SW91	DRUG ABATEMENT ASW-305      	SW91
SW99	"FOR SDR FILLER CODE, ALL REG"	SW99
WA45	ACCIDENT INVESTIGATION AAI-100	WA45
WA70	CIVIL AVN SECURITY ACS-1 DC 	WA70
WA71	CIVIL AVN SEC DIV ACS-100 DC	WA71
WA72	SPECIAL PROG DIV ACS-200 DC 	WA72
WA73	INVEST & SEC DIV ACS-300 DC 	WA73
WA91	DRUG ABATEMENT AAM-820 DC   	WA91
WPRC	WESTERN PACIFIC REG CNSL LA CA	WPRC
WP00	REGIONAL FLT STDS OFC LA CA 	WP00
WP01	VAN NUYS CA               FSDO	WP01
WP02	SAN JOSE                  FSDO	WP02
WP03	SAN FRANCISCO CA          FSDO	WP03
WP05	LONG BEACH CA             FSDO	WP05
WP06	LAS VEGAS NV              FSDO	WP06
WP07	SCOTTSDALE AZ             FSDO	WP07
WP09	SAN DIEGO CA              FSDO	WP09
WP11	RENO NV                   FSDO	WP11
WP13	HONOLULU HI               FSDO	WP13
WP15	SAN JOSE CA               FSDO	WP15
WP17	FRESNO CA                 FSDO	WP17
WP19	LAS VEGAS NV              FSDO	WP19
WP21	RIVERSIDE CA              FSDO	WP21
WP23	LOS ANGELES CA            FSDO	WP23
WP25	SACRAMENTO CA             FSDO	WP25
WP27	OAKLAND CA                FSDO	WP27
WP28	PHOENIX AZ                 CMO	WP28
WP29	SAN FRANCISCO CA        CMO-AW	WP29
WP30	DENVER CO                  CMO	WP30
WP31	LOS ANGELES INTL FS OFC   FSDO	WP31
WP33	SINGAPORE                 IFO	WP33
WP70	REGIONAL SECURITY PROG LA CA	WP70
WP71	LOS ANGELES INTL CA      CASFO	WP71
WP72	LAS VEGAS NV             CASFU	WP72
WP73	PHOENIX INTL AZ          CASFO	WP73
WP74	SINGAPORE/SIN CASIFO        	WP74
WP75	SAN FRANCISCO INTL CA    CASFO	WP75
WP76	HONOLULU INTL HI         CASFO	WP76
WP77	ASIAN AREA SECURITY STAFF   	WP77
WP78	LOS ANGELES CA AWP-710      	WP78
WP79	LOS ANGELES CA AWP-710      	WP79
WP80	REGIONAL AIRPORT PROG LA CA 	WP80
WP81	SOUTHERN ARPT FLD OFC LA CA 	WP81
WP82	NORTHERN ARPT FLD OFC SF CA 	WP82
WP83	HONOLULU HI ARPT DISTRICT OFC	WP83
WP90	REGIONAL FLT SURGEON LA CA  	WP90
WP91	DRUG ABATEMENT AWP-320      	WP91
99999	FIELD OFFICE INVALID        	ERROR MESSAGE
