c5	remark
19750107010359A	PROP CTL POSITIONED TO HI PITCH,LO RPM STOP.HIT TREE ABT 40FT AGL APRX 1600FT FM DEPT END OF RWY 9
19750108000079A	ENCTRD LWRG CLG.
19750108000519A	PRACTICE FORCED LDG APCH.INADVERTENT LDG,PLT MISJUDGED ALT DUE LARGE EXPANSE OF SNOW.
19750108000729A	HIT FENCE 600FT SHORT OF RWY.
19750108001549A	RELEASED TAIL WHL LOCK,TURNING OFF ONTO HI SPD TAXIWAY.
19750108002659A	
19750108004099A	ACFT IMPACTED GND AT HI SPEED.ENGS BURIED 5-6 FT.GNL DISINTEGRATION OF ACFT.FLEW 7HR IN LAST 24.
19750108005309A	PLT TRANS OUT OF CTL.WX IN ACDT AREA DESCRIBED AS NEAR ZERO-ZERO COND.
19750109000609A	FOG BANK OVER MARSH.DRG L TURN OUT,DSCNDD INTO MARSH.
19750109000889A	TSTMS,HI WINDS AND HVY RAIN IN ACDT AREA.
19750109000899A	
19750109000909A	HI PWR,MIXT CTL RICH
19750109002149A	PAX RPT,PLT CKD 3 DIFFERENT LIGHTS ON PANEL,EACH LIGHT CKD OK,NEXT INSTANT HIT FIRST TREE.
19750109002159A	ACFT WRECKAGE SCATTERED A DIST OF 615 FT.SPARSELY LTD TERRAIN.
19750109002669A	STALLED ABT 15FT ABV RWY.
19750109002859A	HIT LARGE BOULDER.
19750109005841A	
19750109005842A	
19750109007181A	HUMAN LIMITATION INHERENT IN THE SEE & AVOID CONCEPT,CRITICAL IN TERM AREA.CONT VS UNCONT TRAFFIC.
19750109007182A	
19750109012719A	CARRYING LOAD OF MARIJUANA. RECOVERY DATE 3/25/75.
19750110000089A	TERRAIN SNOW COVERED 2 TO 3FT DEEP.
19750110000199A	PREV DMG TO CTL BAR.SLIGHT VIBRATION.LNDD IN SNOW.
19750110000389A	ACFT ENTERED AND EXITED LOW CLOUDS,STALLED AND SPUN.CORONARY ARTERY 70 PCT OCCLUDED.
19750110002169A	HIT TALL TREES ABT 3 MI E OF ARPT,LOC APCH.PLT RPTD DIFFICULTY SETTING DG DUE TURBC.
19750111000399A	PLT TIME AS OF 6/5/74.DESCENDED BELOW DH.ACFT IN LDG CONFIGURATION.
19750111000919A	PLT CLAIMED WIND SHEAR EFFECT.
19750111000929A	WIND GUSTING 35K.
19750111000939A	1 INCH SNOW ON RWY.LNDD R OF CENTERLINE,VEERED INTO RWY LT.
19750111001559A	L FUEL SELECTOR ON AUX VICE MN FUEL TANK.ENG NOT FEATHERED,GR NOT RETRACTED.
19750111005859A	RECOVERED ABT 1600FT BLO TOP OF CANYON ON 1/12/75.PLT WAS ADVSD TO STAY ABOVE RIM.
19750112000409A	PLT TRIED TO LND ON SAME RWY.
19750112000419A	LEFT WING HIT HIDDEN STEEL GIRDER.GUSTS 25K.
19750112000619A	FROST ON WGS.
19750112000629A	STOLEN ACFT.
19750112000639A	
19750112000649A	OVER GROSS WT 30 LB. 8400FT AT SITE.
19750112000739A	DRIFTED R & HIT RAISED EDGE OF PLATFORM. GUSTING TO 35K.
19750112006819A	HI SPEED TAXI.HIT 2 PARKED ACFT-PIPER PA-28R,N4563J & BEECH H35,N4679D.BOTH SUBSTL DMG.
19750112013949A	PLT EXPD FLT DIFFICULTIES.ATC OFFERED SURVEILLANCE APCH.ACFT VEERED OFF BFR RADAR CTC LOST.
19750112020969A	FLEW INTO AREA OF KNOWN ICING COND.ACFT NOT ANTI-ICE/DE-ICE EQPD.UN MNTN ALT.
19750112030679A	FROZEN LAKE,RAN INTO OVERFLOW. CTLS BECAME STIFF & PLT OVER CONTROLLED.
19750112043189A	UN CLMB TO SAFE ALT.ATC FAILED TO SEEK SPECIFIC INFO RE DTRTN OF PLT,ACFT ABILITIES.
19750113000209A	90 GAL WATER ABD. GUSTING TO 10K. VA AG STUDENT.
19750113000749A	PLT SAID L BRAKE SPONGY BFOR DEP.ANNUALED 4HRS PRIOR.
19750113000949A	ACFT DMG & INJ INDEX PRESUMED.
19750113001569A	SECOND SOLO FLT.RWY PACKED SNOW,ICY.LARGE SNOW PILES AT RWY INTERSECTION.
19750113001639A	LEFT CARGO RACK SEPARATED,STRUCK MAIN ROTOR SYSTEM. PLT LND,NO FURTHER DMG.
19750113001849A	A/S DROPPED FRM 40-50MPH TO BELOW 10MPH.WIND GUSTING 25K.
19750113001859A	SECOND SOLO X-C.PLT NOT GIVEN PROGRESS CKS IN FLT TRNG.CALLED OPERATOR BFOR DEP SALEM.
19750113002179A	VALVE FAILED.RESULTED IN CYLINDER DAMAGE.
19750113002679A	RECOVERY DATE 1/14/75.HIT MTN SLOPE.
19750114000039A	T/D ABT 2FT SHORT OF RWY,L WHEEL STRUCK EXPOSED EDGE OF RWY.
19750114000099A	NOT EQUIPPED WITH SNOW BOARDS.REAR OF SKIDS BROKE THRU CRUST,T/R HIT GRND.
19750114000429A	EX TAIL PIPE,PART OBSTRUCTED.INTERNAL MUFFLER BAFFLE BURNED,LOOSE.AD 73-1-1 PART 2 NOT C/W.
19750114000439A	NR.4 CONROD FAILED.
19750114000449A	LOW APPROACH DUE SMALL FIELD.
19750114000459A	COLLIDED WITH DRIFTWOOD ON BEACH ROAD.
19750114000759A	INSTRUCTOR ASSUMED CNTL TOO LATE TO PREVENT TOUCHDOWN TAIL LOW ATTITUDE
19750114001579A	ROUGH ENGINE,ELECTED TO LND ON FREEWAY.HIT CAR.
19750114003869A	MAIL FLT.ACFT SLID L DRG TKOF,BECAME AIRBORNE,SETTLED.
19750114007199A	T/R DRIVE SHAFT COUPLING FAILED.
19750115000109A	RIDGE SOARING. GUSTING TO 25K.
19750115000769A	BECAME AIRBORNE DRG HI SPEED TAXI-GUSTING TO 18K
19750115000959A	WATER TRASH & DIRT IN FUEL SYS.ACFT NOT FLOWN PRIOR 90 DAYS.
19750115002189A	
19750115002199A	UN EXTD GR.NUMEROUS ELECTRICAL SYS PROBLEMS.ELT DID NOT ACTIVATE.
19750115002999A	MAIL FLIGHT. TAILWHEEL MOUNTING STRUCTURE FAILED WHEN TAXI OVER ROUGH FROZEN TERRAIN.
19750115003359A	HIT STEEL CABLE SPANNING RIVER.FILED MILITARY LCL FLT PLAN.BOTH OCCUPANTS DROWNED.
19750115007209A	MIXTURE CTL CABLE FND DISCONNECTED FM CARBURETOR
19750116000469A	WIND GUSTING 15K.
19750116001319A	
19750116001509A	ACFT FLOATED ABT 1000 FT BFR T/D.
19750116002209A	LNDD LONG & FAST ON WET SOD RWY.CRANE OPERATING NR APPROACH END.
19750116006829A	ENG PWR LOST AFTR APRX 1/2 RWY USED.PLT ATMTD TURN BACK TO ARPT FM 150-200 FT ALT.
19750117000479A	SNOW CVRD FARM FLD.L MAIN GR CTTD SNOW ACFT PIVOTED WING AND TAIL SKID STRUCK PILE OF FZN SNOW.
19750117000969A	STEEP TURN FROM CLOSE IN DOWNWIND LEG.PLT HAD 1 HR DUAL IN TYPE ACFT.
19750117000979A	PLT ATTEMPTED TAKEOFF FROM SMALL PASTURE
19750117001129A	R LNDG GR COLLAPSED.INBOARD DRIVE TUBE HAD ABT A 3 IN BOW.GR DID NOT LOCK DWN.GR WARNING SYS INOP.
19750117001329A	PLT RMVD SNOW AND FROST FM WINDSHIELD DID NOT CK UPPER WING SURFACES.
19750117001589A	ACFT L WING AND R WING TIP DMGD.
19750117002219A	HI WEEDS CTCTD FRONT PORTION OF L SKID.HELICOPTER TILTED,ROLLED OVR TO R.
19750117002689A	PUMP SHAFT FAILED.SAND FOUND IN UNIT.PLT DIDNT FEATH PROP,UN MAINTAIN ALT.
19750117002699A	
19750117004339A	NR 1 EXH VALVE FAILED.GUSTING TO 55K.
19750117005869A	DSCND BLO MDA,HIT PWR CABLE 36FT AGL ABT 1 1/2 MI SHORT OF RWY.
19750118000119A	IP CKD PLTS PREFLT PLANNING DAY BFR ACDT.IP AWARE PLT INTENDED RON.
19750118000489A	GO ARND 60FT AGL.STUDENT OPENED THROTTLE & PUSHED CTL WHEEL FWD.
19750118000659A	3RD LDG ACFT BOUNCED THEN PORPOISED.
19750118000989A	DMGD L WG,STAB & WHEEL.
19750118001139A	AMPHIBIAN SANK DURING DEMO OF CIRCULAR TAXI/TAKEOFF.WRECKAGE NOT RECOVERED.PLT THOUGHT R GR EXTDD.
19750118001299A	WIND GUSTING 30K.WIND AND RWY COND BRIEFED AT N CENTRAL AIRLINES.
19750118001309A	
19750118001659A	ABT 4 SEC AFTER NORMAL LDG & PWR REDUCED,M/R BLADES HIT TAIL BOOM.
19750118002341A	PA-28 CRASHED IN SCHOOL YARD. GLIDER UNDER TOW BY PA-18 AT IMPACT.
19750118002342A	
19750118006839A	DENSITY ALT 8800FT.CRASHED ON MESA.
19750119000669A	GUSTING TO 45K.
19750119000679A	
19750119000779A	RETRACTED GR INSTEAD OF FLAPS.
19750119000999A	GUSTS TO 20 KTS
19750119001009A	HIT FENCE.
19750119001019A	
19750119001149A	AFTER WIND GUST PLT DECIDED LND IN SWAMP BESIDE RWY.
19750119001339A	RWY COMPLETELY CVRD WITH ICE.LAYER OF PACKED SNOW EXTNDG ABT 4 FT TWRD CTR FM EACH EDGE.
19750119001599A	SOLDER JOINT CAME LOOSE AT FUEL SELECTOR.
19750119001609A	DRG BASE TO FINAL TURN ENCTRD FOG BANK.LOST CTL REGAINED VIS IN TIME TO CTL CRASH LNDG.
19750119002709A	PLT OVERCOMPENSATED FOR BOUNCED LDG.
19750119002719A	OVERFLEW SUITABLE AFLD.LND BESIDE HWY I-70.
19750119004109A	ENG FAILED,EMGCY LDG ON SNOW COVERED FROZEN LAKE.
19750119005879A	3 HR 15 MIN FLT.FULL FUEL 80 GALS ON TKOF.AFTR ACCDT L TNK EMPTY RT TNK 1/4-1/2 FULL.
19750119033059A	SCREWDRIVER INSERTED IN CTL CHAIN BTWN PINS 13-14.FULL R TRAVEL COULD AND DID LOCK AILERON CTL.
19750120000789A	PLT KNEW ACFT OVR MAX GROSS WT.SETTLED INTO TREES.
19750120000799A	1 FT SNOW ON RWY.PLT TRIED GO ARND ABT 10FT AGL.
19750120001029A	INTERNAL FAILURE.LND ON SLOPE.
19750120001039A	SPACER CONNECTING DRAG LINK TO STRUT SHEARED.BOLT AN 179-53A MISSING.
19750120001049A	SAND GRAIN FOUND IN HIGH SPEED JET. DEEP DITCH APCH END RWY
19750120001059A	UPPER WING SFC CVRD WITH A JAGGED LAYER OF ICE ABT 1/4 TO 1/2 IN THICK.
19750120001349A	WIND GUSTING 15K.
19750121001069A	PULL UP FROM LOW PASS.
19750121001209A	TAIL WHEEL LOCK SPRING BROKEN.NARROW RWY.
19750121001359A	VEERED OFF RWY INTO PLOWED FIELD & NOSED OVER
19750121004119A	STRUCK 4 RWY LTS.
19750121004129A	TKOF ON AUX TANK.STRUCK PWR LINE,LVLD OFF HI,LNDD HARD.
19750122001219A	PAX HAD FEET ON BRAKES.
19750122001229A	R WING STRUCK GND,SPAR BKN.
19750122001869A	TAXIED INTO TREE ON PARKING RAMP.
19750122002229A	ENG FAIL UNDT.IMPACT WING LOW ICEY SWAMP.
19750122022069A	
19750123000689A	ENG OVHL 39 HRS PRIOR.IMPROPER COUNTERWEIGHT PINS INSTALLED.
19750123001369A	PLT FLEW UNDER TRANSMISSION LINE AND COLLIDED WITH OTR LINE.
19750123001519A	R REAR SKID HIT PIPE SUPPORT FOR LT ABT 18 IN AGL.
19750123001649A	LOW CLG,DARK NITE.SPARSELY LTD TERRAIN.
19750123001669A	THIRD TOUCH & GO LDG FOR STUDENT.INSTR PLT WAS HANDLING POWER & STUDENT WAS AT FLT CONTROLS.
19750123001879A	FUEL TRUCK BACKED INTO ACFT.
19750123007219A	PLT WAS ADVISED VFR FLT NOT RECOMMENDED.CLG IN ACDT AREA ABT 100FT AGL.
19750124000809A	RECOVERY DATE 1/27/75.PLT STATED MISSING ENG & POOR WEA PROMPTED LDG ATTMPT.
19750124000819A	
19750124001239A	LANDED WITH 80 DEGREE CROSS WIND,SWERVED INTO SNOW BANK.
19750124001529A	WIND GUSTING 45K.
19750124001889A	STRUCK A DITCH AND DIRT EMBANKMENT.
19750124004349A	ACFT IN TIGHT L TURN.
19750124023849A	ILS APCH,HIT TREES ABT 1MI FRM RWY. 1HR TOTAL ACTUAL INST TIME.VFR ARPT AVBL.
19750124042849A	NOSE GR ASSEMBLY TO UPPER DRAG LINK BOLT P/N 400-274 BROKE.NOSE GR COLLAPSED.
19750125000499A	TOUCHED DWN 2ND TIME ABT RWY MID POINT.
19750125000699A	GUSTING TO 25K. TREES & FENCE ABT 40FT FROM RWY.
19750125000829A	COLLIDED WITH UNDET SUNKEN OBJECT.
19750125001079A	WND GUSTS TO 20K.
19750125001249A	
19750125001259A	HIT A CB ANTENNA.
19750125002239A	LOW TURN TO FINAL.
19750125003369A	FSS ADZD VFR FLT NOT RECOMMENDED.FLEW INTO WRONG PASS,HIT GND DRG TURNAROUND.
19750125004359A	LOST DIR CTL & LND.NO MALFUNCTION FOUND.
19750125004669A	
19750125006849A	EXCESSIVELY LEAN MIXT.HIT CATTLE PENS.
19750125042359A	DSCNDD BLO MIN APCH SEGMENT ALT DRG VOR/DME APCH,HIT RADIO TWR,L WING SEPD.
19750126001089A	WIND GUSTING 20K.NSE GR SAFE LIGHT BURNED OUT.SOOTY SPARK PLUGS INDICATE RICH MIXTURE.
19750126001269A	LDG HORN INOP.ON FINAL APCH PLT DISTRACTED FORGOT TO LWR LDG GR.
19750126001379A	
19750126001389A	PLT CONTD SLIP INTO SURFACE DURING EMERG LDG IN SMALL FLD.GR FAILED.
19750126001399A	ACFT ENCOUNTERED RAIL FENCE AND EMBANKMENT.GUST 30K.
19750126003009A	LINKAGE BETWEEN NOSE AND MAIN GEAR IMPROPERLY ADJUSTED.WEAK OR DEAD BATTERY.
19750126012729A	INVEST UNDER JURISDICTION OF GOVT OF MEXICO.
19750127001409A	MISJUDGED ALTITUDE AND STRUCK SNOW COVERED SURFACE OF FROZEN LAKE.LACK OF CONTRAST DUE SNOW.
19750127001419A	
19750127001679A	WIND GUSTING 20K.
19750127001899A	LOOSE SNOW ON RWY. ALSO HIT ROCK PILE.
19750127003379A	ACFT CAPABLE OF NORMAL OPN.HIT GRND IN L DSCND TURN FOR UNDET REASON.PLT UN RECALL EVENTS.
19750128000839A	
19750128001159A	RT LDG GEAR TORQUE TUBE ARM BOLT HOLES FOR RETRACT & EXTNSION ROD WORN OUT.PLT PARKING ACFT.
19750128001619A	PREOCCUPIED WITH DEFROSTING THE WINDSHIELD.ACFT VEERED TO R STRUCK N50305 DMGD VERT STABILIZER.
19750128001909A	WX BRIEFED BY FLT INSTRUCTOR.PLT RPTD OVER LOW CLOUDS,BECAME LOST.
19750128003019A	APCH MADE TO STRIP APRX 100FT WIDE 2500FT LONG.LAST DUAL INSTRUCTIONAL FLT 9/29/74.
19750128003879A	
19750128004679A	REDUCED RPM TOO SOON WHILE CLBG.
19750128015039A	RECOVERY DATE 012875.DSCNDD BLO MDA STRUCK WIRES ABT 1.45 MILES E OF ARPT.
19750129000509A	HIT FENCE 87 YDS SHORT OF RWY.
19750129001429A	WIND GUSTING 21K.FUSELAGE,WINGS AND TAIL DMGD.
19750129002359A	ACFT OBSVD TO CLB AT APRX 60 DEG ANGLE TO ABT 500 FT,ROUNDED OFF TO L AND NOSED STRAIGHT DOWN.
19750129004019A	
19750129004369A	PLT DISTRACTED BY FLOCK OF BIRDS ON FINAL APP.
19750129004689A	L GR COLLAPSED CAUSING SWERVE OFF L SIDE RWY 10.INVESTIGATION JURISDICTION GOVT OF BAHAMAS.
19750130001169A	NR 4 PISTON FAILED.
19750130001919A	
19750130001929A	IP INSTRUCTING STUDENT TO ALIGN THE ACFT WITH THE RWY CENTERLINE.R WING HIT TRUCK ADJ TO TAXIWAY.
19750130002249A	PLT USED STUBBLE GRAIN FLD.HIT FENCE & GULLY.WIND COND 5 MI SO.,MEASURED GUSTS 20K.
19750130002369A	
19750130003029A	PRACTISING STALLS & SLOW FLT.
19750130005889A	ENTERED CLOUD BANK ABT 3000FT AGL.LOST CTL.BOTH STABS & L WG FAILED.PLT BLOOD ALC LVL 0.192 PCT.
19750131001439A	LANDED ON CLOSED RWY WITH DITCHES ACROSS.
19750131001689A	PLT ATTMPTD LNDG WITH LIMITED FWD VIS THRU ICED OVER WINDSHIELD
19750131001699A	
19750131002379A	BLOOD ALCOHOL LEVEL 0.31 PERCENT.
19750131002729A	HIGH GRASS ON RWY.RAN OFF SIDE,HIT DITCH.
19750131003389A	VIS REF ESTB WINDSHIELD DEICER TURNED OFF.WINDSHIELD ICED OVR.UN CONT FLT DUE ICE ACCUMULATION.
19750131004699A	PLT BEGAN TKOF WITHOUT REMOVING PITOT COVER.ENG CKD OK.
19750131005899A	PLT BLOOD ALC LVL .09PCT.
19750131006869A	NO DTMN MADE WHY GR COULDNT BE EXTDD MANUALLY.HAMILTON SPAR MOD,INADEQUATE CLNC AT DOOR BELLCRANK.
19750131010049A	OPENED THROTTLE ABRUPTLY. 2FT SNOW ON RWY.
19750131019599A	MDT AIRFRAME ICING IN AREA.ACFT OBSUD TO BREAK OUT OF OVCST ABT 400 FT OVR END OF RWY.
19750201001099A	ENGINE VW 1600CC,PROP HEGY 50/40.COULD NOT OBTAIN DESIRED RPM.DESIGN CG AFT OF OPTIMUM.DA 5500FT
19750201001179A	
19750201001709A	
19750201001719A	OVERSHOT APCH.NOTICE ON STRIP-TRICKY IN WINDS,EMERG ONLY FOR PROF PLTS.
19750201002259A	PLT HAD NOT FLOWN 172 ACFT IN A YEAR.BRAKES WOULD NOT SLO ACFT DUE MUD.BOOST PUMP OFF FOR TKOF.
19750201002389A	
19750201002399A	FLT WAS TO BE A REPEAT OF PREV SOLO FLT.ACFT OBSVD MAKE LOW TURN OVR BEACH PRIOR TO DSCNT.
19750201002409A	BOUNCED ABT 8FT INTO THE AIR.NOSEWHEEL TIRE BLEW OUT.RWY LIGHTS NOT ON.
19750201003039A	PRACTICE FOR MULTI-ENG RATING.FLAT SPIN.PIC NOT IP RATED.
19750201004139A	ABT 40FT AGL,DSCNDD RAPIDLY,LNDD TAIL FIRST.
19750201004709A	HIT 75FT TOWER ABT 2 MI FRM RWY.ATTMPTD COMB NDB & SURV APCH AFTER MISSED ILS APCH BLO MIN COND.
19750201005909A	LNDD ACROSS FURROWS IN CORN FLD.
19750201006409A	FATIQUE PROPAGATION THRU LOWER M/R PITCH CHG MECH CLEVIS,P/N 206-010-340-3.
19750201007599A	CRASHED IN STEEP NOSE DOWN ATTITUDE DURING 350 DEG HDG CHANGE TO INTERCEPT LOCALIZER.ICGIC IN AREA
19750201007609A	FLEW INTO RISING TERRAIN.ACFT & OCCUPANTS NOT RECOVERED TO DATE DUE AVALANCHE DANGER.
19750202001189A	PLT LINED UP WITH SNOWBANK ON SIDE OF RWY.STALLED TRYING TO RET TO RWY.
19750202001449A	
19750202001729A	NOTAM DID NOT INCLUDE 12-18 INCH SNOW/ICE BANK AT END OF CLEARED PORTION.
19750202001739A	ROCKS CVRD BY SNOW.
19750202001939A	ACFT SETTLED BACK TO RWY AFTR L/O.R WING STRUCK PINE TREE.
19750202002269A	BECAME AIRBORNE THEN SETTLED TO GND JUST BEYOND RWY.SOFT FLD TKOF.
19750202002419A	FLT ABORTED FM ABT 20FT AGL.TKOF TOOK A LONGER THAN USUAL.RMVD FROST FM WINDSHIELD DIDNT CK WINGS.
19750202002869A	ACFT NOT EQUIPPED WITH GYRO FLT INST.RECOVERED FROM FROZEN LAKE 2/6/75.
19750202003049A	L BRAKE INEFFECTIVE FOR UNDET REASON.
19750202005919A	PLT STATED COLLECTIVE LOCKED,OTR CTL BINDING.INVESTIGATION UNDER JURISDICTION GOVT OF PERU.
19750203001539A	SPRAYING WEEDS.
19750203001749A	NO STUDENT PLT CERTIFICATE ENDORSEMENTS.
19750203001949A	GYROCOPTER WAS EQUIPPED WITH A VW 1800 ENGINE.PLT-INDUCED OSCILLATION.
19750203002429A	PLT LOOKED DWN TO IFR CLNC.L WING STRUCK PIPER PA-31 N6733L.SUBSTANTAL DMG.
19750203004379A	ACFT NOT EQUIPD WITH IFR FLT INSTRUMENTS.RECOVERY DATE 2/5/75.
19750204001959A	HIT 11FT SHORT OF SNOW BANK AT END OF RWY.
19750204002739A	SLOW ACCEL ON SOFT SOD RWY.COPILOT INITIATED ABORT,PLT ELECTED TO CONT TKOF.
19750204008619A	DESCENDED BELOW MDA,HIT TREES 2MI SHORT OF RWY.ALTIMETER CKD OK.
19750205001459A	TKOF ON EMPTY L TANK,INDCD FULL.DIDN'T SWITCH TANKS.C/P HAD TO MAKE LDG ON STREET.HIT SGNPST,DITCH
19750205001759A	NO WIND DIRECTION IND ON FLD.LND HALFWAY DWN RWY,ATTMTD GO ARND.SWERVED OFF RWY INTO FENCE.
19750205001969A	PORPOISED.
19750205003669A	RECENT OCCLUSION OF R CORONARY ARTERY DUE TO ARTERIOSCLEROSIS.
19750205004149A	LOW ALT FLT OVR OCEAN.NOSE GR STRUCK WATER,SEPARATED.
19750205018149A	R WING SEPARATED.CO-PLT EVACUATED THRU WINDSHIELD OPENING,R DOOR STUCK.
19750206000849A	LND ON LEVEE,ACFT BOUNCED & WENT DWN EMBANKMENT.
19750206001199A	PAX DEPLANED,WALKED INTO PROP.
19750206001769A	RAN INTO DRIFTED SNOW.
19750206001779A	SKI HIT LARGE SNOW DRIFT.
19750206001979A	
19750206002279A	PWR DECAY.LNDD IN SMALL OPEN FLD.
19750206003889A	
19750206006419A	
19750207001789A	AIL CABLES HOOKED UP BACKWARDS.
19750207001989A	PLT DID NOT POSITION FUEL SELECTORS TO PROPER TANK BFOR APCH.LND HARD IN SMALL FLD.
19750207001999A	
19750207002289A	LOST CONTROL IN GUSTY X-WIND.PLT RPTD RWY QUITE ROUGH.
19750207002299A	STRUCK 2 METAL POLES ABT 40FT OFF THE SIDE OF THE RWY.
19750207002879A	NOSEWHEEL SHIMMY,L X-WIND ACFT VEERED R STRUCK A SHALLOW DITCH.GUSTS TO 28K.
19750207002889A	REGISTERED TO FICTITIOUS ORG.PLT UNK.TOTAL ABD AND INJURY INDEX PRESUMED.
19750207003399A	HIT TREE 30FT L OF ROUGH RWY.TRAILERS TO R OF RWY.
19750207003409A	
