c5	remark
19900105000179A	SPATIAL DISORIENTATION NEAR DH ON ILS APPROACH, GOT BELOW GLIDE SLOPE.LOST CONTROL AND CRASHED NEAR END OF RUNWAY.
19900105000229A	ATTEMPTED DOWNWIND TAKEOFF,SAW ERROR,HIT BRAKES AND NOSED OVER. WIND GUSTING TO 50 KNOTS.
19900105003239I	MAIN GEAR COLLAPSED ON ROLLOUT. GEAR OPERATED NORMALLY WHEN HANDLE PUT DOWN. PILOT STATED HE HAD SAFE LIGHTS.
19900105003289I	OIL ON WINDSHIELD ON CLIMB. RETURNED. PROPELLER O RING HAD FAILED.
19900105003389I	UNABLE TO EXTEND RIGHT GEAR FOR LANDING. LANDED WITH NOSE AND LEFT GEAR EXTENDED.
19900105003559A	BOUNCED THIRTY FEET INTO AIR ON LANDING. PUSHED NOSE DOWN.FAILED TO FLARE. IMPACT COLLAPSED NOSE GEAR.BUCKLED SKIN.
19900105003939I	VIBRATION DURING CLIMB. PRECAUTIONARY LANDING IN FIELD. POWERPLANT SPARK PLUGS WERE LEAD FOULED.
19900105004019I	SEVERE VIBRATION ON NR3 ENGINE IN FLIGHT. SHUTDOWN AND RETURNED. FOURTH STAGE TURBINE HAD FAILED.
19900105004099I	PILOT STATED HE LOST CONTROL ON LANDING DUE TO BRAKE PROBLEM. VEERED OFF RUNWAY. MADE GO AROUND. LANDED ON 2ND TRY.
19900105005839I	TOUCHED DOWN SHORT OF RUNWAY. MADE GO AROUND AND PROPELLER STRUCK RUNWAY ON LANDING.
19900105006159I	STUDENT MADE A HARD LANDING. BOUNCED. VEERED OFF SIDE OF RUNWAY AND ENDED UP IN A DITCH.
19900105006209I	AIRCRAFT NOSED OVER ON A TOUCH AND GO LANDING. INSPECTION OF BRAKES REVEALED NO DAMAGE OR CONTAMINATION.
19900105006379I	ENGINE FIRE DURING RUNUP. INVESTIGATION SHOWED BRASS CARBURETOR FLOAT IMPROPERLY SOLDERED RESULTING IN EXCESS FUEL.
19900105006659I	ENGINE QUIT AFTER DEPARTURE. FORCED LANDING IN FIELD. FOUND THREE GALLONS OF WATER IN FUEL.
19900105007999I	HIT WING TIP OF A PARKED AIRCRAFT WHILE ATTEMPTING TO PARK BETWEEN TWO AIRCRAFT.
19900105008369I	ENGINE CAUGHT ON FIRE WHILE TAXIING, FUEL SHUT OFF. NR5 CYLINDER INTAKE BLEW. REPLACED INDUCTION TUBE AND HOSE.
19900106000109A	NR3 ENGINE OVERHEAT LIGHT LIT ON 3 ENGINE TAKEOFF. ABORTED RAN OFF END CRASHED BURNED. COULD HAVE CONTINUED TAKEOFF
19900106000139A	ENGINE FAILED TO RESPOND AFTER PRACTICING A FORCED LANDING APPROACH. STRUCK TREES ON REAL FORCED LANDING. CARB ICE.
19900106000159A	LOST CONTROL LANDING IN CROSSWIND,SKIDDED 200 FEET,SHEARED OFF VASI LIGHT AND FLIPPED OVER.
19900106000199A	LOST POWER ON FINAL. HIT LIGHT POLE IN PARKING LOT. IDLER GEAR SHAFT BOLTS SHEARED. IGNITION HARNESS SPRINGS ARCING
19900106000209A	ROCKED BACK AND FORTH DURING HOVERING PRACTICE DUE IMPROPER CONTROL INPUTS. SKID TOUCHED. CAUSED GROUND RESONANCE.
19900106000239A	UNABLE TO STOP ON FROZEN WET GRASS RUNWAY AFTER LANDING. RAN OFF END INTO A FENCE AND RAVINE. MISJUDGED BRAKING.
19900106000619A	LOW OVER A RIDGE LINE IN SEVERE SURFACE WIND. CAUGHT A DOWNDRAFT. UNABLE TO RECOVER CRASHED ON TUNDRA.
19900106002999I	NOSE WHEEL FELL OFF DURING LANDING FLARE. NOSE STRUT AND PROPELLER WERE DAMAGED DURING ROLLOUT.
19900106003339I	ENGINE QUIT. FORCED LANDING IN FIELD. HAD ENOUGH FUEL AND NO CONTAMINATION. UNABLE TO DUPLICATE PROBLEM.
19900106004399I	LOST IN AREA OF LOW VISIBILITY AND LOW FUEL. PRECAUTIONARY LANDING OFF AIRPORT. LATER HIT A FENCE ON TAKEOFF.
19900106024359I	STUDENT PILOT LOST DIRECTIONAL CONTROL OF AIRCRAFT ON A CROSSWIND LANDING. EXITED LEFT SIDE OF RUNWAY.
19900106027029I	TAXIED AT HIGH SPEED. ERRATIC TOUCH AND GO LANDINGS. ARRESATED FOR BEING DRUNK.
19900107000089A	FAILED TO CLIMB ON MISSED APPROACH. STRUCK UPSLOPE OF CLOUD OBSCURED HILL. MAY HAVE MISJUDGED TIME FROM VOR.
19900107000129A	DRAGGED A SKID DURING AIR TAXI TURN AND LOST CONTROL CAUSING A CRASH. NO LICENSE OR MEDICAL CERTIFICATE.
19900107000169A	STUDENT PILOT ON SOLO CROSSCOUNTRY RAN HIS AIRCRAFT OUT OF FUEL NEAR DESTINATION. CRASH LANDED IN SNOWY FIELD.
19900107000189A	NO FUEL AT EN ROUTE FUELING STOP. DEPARTED WITH LOW FUEL TO ANOTHER AIRPORT,RAN OUT OF FUEL. NOSED OVER LANDING.
19900107000219I	MADE A HARD LANDING AND THE NOSE GEAR COLLAPSED.
19900107000249I	ENGINE FAILED AT CRUISE. LANDED OFF AIRPORT. LEFT MAGNETO WAS INOPERATIVE.
19900107000609A	WING STRUCK A LIGHT POLE WHILE TAXIING TO PARK.
19900107003349I	HYDRAULIC GAUGE LENS SHATTERED AND DRIPPING FLUID ON CLIMB. RETURNED. REPLACED INDICATOR.
19900107003929I	NR2 ENGINE VIBRATION. ABORTED. RETURNED TO GATE. SECOND ROW COMPRESSOR BLADE FAILED AND WENT THROUGH ENGINE.
19900107004179A	VEERED OFF RUNWAY ON LANDING AND COLLAPSED NOSE GEAR. NOSE GEAR COCKED PRIOR TO LANDING. TOW TURN LIMITS EXCEEDED.
19900107004469I	EXPERIENCED A GEAR UP LANDING WHILE PRACTICING AN ILS APPROACH IN VFR CONDITIONS.
19900107005409I	UNSAFE RIGHT GEAR LIGHT ON FINAL. MADE GO AROUND AND LANDED AS GEAR APPEARED DOWN. GEAR COLLAPSED ON ROLLOUT.
19900107005639I	NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. PUT GEAR DOWN AND RETURNED. FOUND NOSE GEAR SCHRADAN VALVE LEAKING.
19900107006419I	AIRCRAFT COLLIDED WITH A RUNWAY LIGHT WHILE TAXIING TO ACTIVE RUNWAY. DAMAGED PROPELLER.
19900107006449I	MADE A HARD LANDING DUE TO WINDS. DUMPED OUT PILOT. WENT AIRBORNE AGAIN. PASSENGER LANDED BALLOON LATER.
19900107007019I	BIRD STRIKE ON WIND SCREEN AT CRUISE ALTITUDE. DIVERTED AND LANDED AT DOTHAN SAFELY.
19900107007079I	TRANSPONDER BECAME INOPERATIVE ON A FLIGHT FROM THE BAHAMAS. CUSTOMS AIRCRAFT SCRAMBLED TO INTERCEPT AIRCRAFT.
19900107007119I	LOST DIRECTIONAL CONTROL ON ROLLOUT. VEERED OFF RUNWAY. HAD BEEN MODIFIED SO AS TO HAVE CONVENTIONAL GEAR.
19900107066139A	OBSERVED OVER FIELD. ENGINE MISFIRING. CIRCLED TO LAND. STALLED. VERTICAL IMPACT. NO PILOT RATINGS OR MEDICAL.
19900108000259A	LOST CONTROL LANDING IN A CROSSWIND, LEFT THE RUNWAY AND STRUCK A HANGAR.
19900108000279A	STUDENT LOST CONTROL ON A TOUCH AND GO LANDING AND AIRCRAFT IMPACTED A SNOWBANK ON EDGE OF RUNWAY.
19900108000289A	DOOR CAME OPEN ON TAKEOFF,LOST CONTROL OF AIRCRAFT,STALLED,CRASHED INTO TREES OFF END OF AIRPORT AND BURNED.
19900108000299A	BLOWN OVER BY SEVERE GUSTY WINDS WHILE TURNING CROSSWIND ONTO RUNWAY FOR TAKEOFF. ENTIRELY TOO MUCH WIND FOR SAFETY
19900108000309A	SLOW ON APPROACH DUE TO TRAFFIC ON RUNWAY. STALLED ON SHORT FINAL DROPPING TO RUNWAY. IMPACT DAMAGED WINGS.
19900108001019A	CONTINUED FLIGHT INTO CLOUDS AND STRUCK SIDE OF MOUNTAIN. A FLIGHT OF THREE OTHERS TURNED BACK AND LANDED SAFELY.
19900108002149A	REPORTED A CROSSWIND GUST CAUSED STUDENT PILOT TO LOSE CONTROL ON TAKEOFF ROLL. ABORTED, RAN OFF RUNWAY. NOSED OVER
19900108003999I	FIRE WARNING NR3 ENGINE. ABORTED. STARTER CABLES SCORCHED AND DEBRIS IN BYPASS CASE. DURING TOW HIT VEHICLE.
19900108004109I	UPON TOUCHDOWN THE AIRCRAFT EXPERIENCED AIRFRAME VIBRATION DUE TO RIGHT MAIN TIRE BEING FLAT.
19900108005239I	UNABLE TO RETRACT OR EXTEND GEAR. RETURNED. LANDED WITH GEAR IN TRAIL. SLIDE TUBE BOUND UP AND MOTOR SHEARED OFF.
19900108005859I	OIL PRESSURE FLUCTUATING ON RIGHT ENGINE. SHUT DOWN AND LANDED. STARTER GENERATOR CARBON SEAL HAD CRACKED.
19900108006789I	EXPERIENCED POWER FAILURE EN ROUTE. EMERGENCY LANDING ON HIGHWAY. THROTTLE CABLE WAS BROKEN.
19900108018789I	PILOT WAS UNABLE TO MAINTAIN ALTITUDE DUE TO EXTREME MOUNTAIN WAVE. FLIGHT WAS ALLOWED TO CONTINUE TO DESTINATION.
19900108020139A	TOW PLANE PILOT DID NOT SEE GLIDER PILOT CANCEL TOW WHILE HE GOT OUT TO CHECK RUDDER. GLIDER TOWED WITH PASSENGER.
19900108062699I	LEFT ENGINE VIBRATING ON TAKEOFF. RETURNED. C1 FAN DAMAGED. SUSPECT ICE INGESTION.
19900109000319A	UNABLE TO STOP ON SHORT WET GRASS RUNWAY. SLID OFF END AND NOSED OVER.
19900109000339A	SECURED LEFT ENGINE DUE LOW OIL PRESSURE. DIVERTED RIGHT ONE FAILED ON FINAL. DITCHED.
19900109003199I	GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED. LANDED SAFELY. REPLACED DEFECTIVE MICRO SWITCH AND CABLE ASSEMBLY.
19900109003979I	NR1 ENGINE FIRE WARNING. DIVERTED FOR LANDING. THIRTEENTH STAGE BLEED AIR FUEL HEATER LINE WAS BROKEN OFF.
19900109003989I	UNSAFE GEAR INDICATION. GEAR APPEARED TO BE DOWN. NOSE GEAR COLLAPSED ON ROLLOUT.
19900109004139I	ON CROSSWIND LANDING AIRCRAFT LIFTED AND VEERED ONTO GRASS.
19900109004419I	MADE A HARD LANDING AND NOSEWHEEL ASSEMBLY DEPARTED AIRCRAFT. PROPELLER STRIKES AT APPROACH END OF RUNWAY.
19900109004529I	JET BLAST DAMAGED AIRCRAFT WHEN PILOT TAXIED BEHIND THE JET. TAXIWAY SHOULD HAVE BEEN CLOSED.
19900109005439I	LANDED GEAR UP. PILOT SELECTED GEAR DOWN BUT DID NOT REALIZE CIRCUIT BREAKER HAD TRIPPED.
19900109005739I	DOUBLE FIRE WARNING ON CLIMB. RETURNED. DISCHARGED BOTTLES. NO FIRE. WARNING LOGIC MODULE FAILED.
19900109005889I	WHEN MAIN LANDING GEAR ENCOUNTERED A SLIGHT DEPRESSION ON RAMP SURFACE PROPELLER STRUCK THE ASPHALT SURFACE.
19900109006139I	STUDENT PILOT MADE A HARD LANDING ON 3RD ATTEMPT TO LAND. DAMAGE TO NOSE WHEEL ASSEMBLY AND LEFT WING TIP.
19900110000359I	PILOT FORGOT TO LOWER LANDING GEAR AND LANDED GEAR UP.
19900110000379A	LOST CONTROL LANDING IN GUSTY CROSSWIND. RAN OFF RUNWAY,DOWN EMBANKMENT AND NOSED OVER.
19900110000529A	MADE 3 PASSES AT AIRPORT TO LOCATE RUNWAY,ON 3RD PASS LANDED LAST THIRD OF RUNWAY.SKIDDED OFF END INTO EMBANKMENT.
19900110001669A	RAN OUT OF FUEL AT NIGHT EN ROUTE. STRUCK FENCE AND TREES ON FORCED LANDING.
19900110003189I	LEFT MAIN LANDING GEAR TIRE WENT FLAT ON ROLLOUT. CHANGED TIRE AND RETURNED AIRCRAFT TO SERVICE.
19900110003279I	A SYSTEM HYDRAULIC FLUID DROPPED TO 0. LANDED AND TOWED TO GATE. HYDRAULIC LINE ON NR2 SPOILER ACTUATOR HAD FAILED.
19900110004429I	INSTRUCTOR MADE A HARD LANDING, LEFT WHEEL BROKE OFF. MADE A GO AROUND, LANDED ON GRASS BESIDE RUNWAY.
19900110005569I	NR2 EPR WAS LOW. CYCLED ANTI ICE WITH NO RESULT. DIVERTED AND LANDED. REPLACED NR2 TRANSMITTER.
19900110005949I	SMOKE WARNING FROM CARGO BAY. LANDED AND EVACUATED. FOUND FAULTY SMOKE DETECTORS.
19900110006409I	LOSS OF ENGINE POWER AND OIL PRESSURE. DEAD STICK LANDING. BELLY COVERED WITH OIL.
19900110006629I	DURING LINE CHECK FOUND EVIDENCE OF PRIOR FIRE IN AFT CARGO. NO REPORTS OF FIRE. DETECTION SYSTEM OPERATIVE.
19900110008669I	RADIO FAILURE. ENTERED CONTROL AREA WITHOUT CLEARANCE. HAD PREVIOUS ELECTRICAL AND AVIONICS FAILURE.
19900110011299I	STUDENT ACCIDENTALLY RAISED GEAR HANDLE ON TOUCH AND GO LANDING. INSTRUCTOR TOOK OVER AND LANDED STRAIGHT AHEAD.
19900111000399I	AIRCRAFT SLID SIDEWAYS WHILE TURNING ON ICE COVERED TAXIWAY. RIGHT GEAR COLLAPSED.
19900111000429A	TURNED OUT OF STRONG GUSTY SURFACE WINDS AND WAS BLOWN INVERTED BY THE WIND.
19900111000479A	DEPARTED TO FOLLOW HIGHWAY IN DENSE FOG. LOST CONTROL EN ROUTE AND CRASHED.
19900111000969A	LANDED SHORT OF RUNWAY AND FLIPPED OVER. PILOT TESTED POSITIVE FOR ALCOHOL.
19900111000979A	ELECTRIC POWER LOSS. AIRSPEED LOSS, POSSIBLE ICING. DIVERTED. BOTH ENGINES QUIT. HIT POLE.
19900111003149I	BAGGAGE HANDLER WAS INJURED WHEN BELT LOADER HE WAS POSITIONING HIT AND PROCEEDED UNDER THE FUSELAGE STRUCTURE.
19900111003329I	AS PILOT BRAKED ON ROLLOUT THE TAIL CAME UP AND AIRCRAFT FLIPPED OVER.
19900111003949I	RIGHT TIRE BLEW ON LANDING. TAXIED TO GATE. REPLACED TIRES AND DOWN LOCK SENSOR CABLE.
19900111004059I	PRESSURIZATION PROBLEM. DIVERTED. NR2 ENGINE 13TH STAGE SADDLE DUCT END CLAMP FAILED AND CAP BLEW THROUGH COWLING.
19900111004209I	OIL TEMPERATURE RISE AND ODOR ON CLIMB. PRECAUTIONARY LANDING ON DRAG STRIP. BACK OF MUFFLER HAD BLOWN OUT.
19900111004309I	ENGINE QUIT AND UNABLE TO RESTART. FORCED LANDING ON ROAD. SUSPECT CARBURETOR ICE.
19900111004319I	ENGINE QUIT AFTER DEPARTURE. INSTRUCTOR TOOK OVER. RETURNED TO AIRPORT AND LANDED SAFELY. TOWED TO RAMP.
19900111005129I	STUDENT LANDED LONG AND DEPARTED END OF RUNWAY. WILL RECEIVE ADDITIONAL TRAINING.
19900111005169I	MADE AN EMERGENCY LANDING DUE TO FAILURE OF THE LEFT ENGINE. FOUND THE CRANKSHAFT BROKEN.
19900111005489I	UNABLE TO GET GEAR DOWN SAFE LIGHT. GEAR COLLAPSED ON ROLLOUT. ROD HAD A BEND POSSIBLY FROM PRIOR HARD LANDING.
19900111005919I	HIT A DEER ON RUNWAY AT ROTATION. RETURNED AND LANDED SAFELY.
19900111006599I	GUSTY WINDS TIPPED AIRCRAFT ON ITS NOSE AND LEFT WING TIP WHILE TAXIING TO RAMP.
19900111007289I	MECHANIC TAXIING AIRCRAFT INTO THE GATE WAS MARSHALLED BY UNTRAINED MECHANIC. WING TIP HIT A PARKED TRUCK AT GATE.
19900111008379I	ENCOUNTERED UNFORECAST SNOW SHOWER. ADVISED APPROACH CONTROL. CONTROLLER DECLARED EMERGENCY. VECTORED TO AIRPORT.
19900111026899I	LANDING GEAR COLLAPSED ON TAXIWAY AFTER LANDING. END FITTING ATTACHED TO DOWNLOCK ASSEMBLY BROKE AT ADJUSTING SCREW
19900111035599A	RAN OUT OF FUEL ON APPROACH TO DESTINATION. STRUCK FENCE POSTS SHORT OF RUNWAY.
19900111046869A	MADE LOW PASS OVER RUNWAY ON DEMO FLIGHT.PULLED UP SHARPLY.ENTERED RIGHT SPIN, ROLLED ONTO SIDE AND IMPACTED GROUND
19900112000459A	UNABLE TO CONTROL ENGINE THROTTLE. COLLIDED WITH FENCE ON FORCED LANDING,THROTTLE PLATE SEPARATED CUT INDUCTION AIR
19900112000469A	ABORTED TAKEOFF DUE TO WHITEOUT CONDITION THAT OBSCURED ORANGE RUNWAY MARKERS. WHEEL HIT SNOW BERM. IMPACTED BERM.
19900112000489A	FLEW INTO TREES ON MOUNTAINSIDE WHILE TRYING TO NEGOTIATE A PASS. SNOW, CLOUDS, AND FOG IN AREA. POOR JUDGEMENT
19900112000509A	LEFT MAIN TIRE RUPTURED ON LANDING ROLL. USED BRAKES TO STEER. AIRCRAFT NOSED OVER.
19900112000559A	MADE HARD LANDING BENT PROPELLER AND FIREWALL. GUSTY SURFACE WIND.
19900112001069A	NEW OWNER BEING CHECKED OUT IN TAIL DRAGGER. VEERED ON LANDING.CHECK PILOT ALSO ON CONTROLS RESULTED IN GROUND LOOP
19900112004369I	UNSAFE LIGHT WHEN GEAR RETRACTED. EXTENDED GEAR AND GOT SAFE LIGHT. LANDED WITHOUT INCIDENT.
19900112005109I	GEAR UNSAFE LIGHT ON CLIMB. RETURNED. ON DESCENT AIRSPEED INDICATOR FAILED. HAD ICE IN CLOUDS.
19900112005469I	ENGINE QUIT DUE TO FUEL EXHAUSTION. AUTOROTATED TO HARD LANDING. STATED SHOULD HAVE ENOUGH FUEL FOR FLYING TIME.
19900112005519I	BOTH ENGINES SHUT DOWN DUE TO SURGING. LANDED IN FIELD. NO FUEL IN LINES. MAIN TANKS FULL. AUXILIARY TANKS EMPTY.
19900112006059I	AIRCRAFT SLID FORWARD ON VERY ICY RAMP WHILE DEPARTING GATE. LEFT WING TIP HIT JETWAY.
19900112006199I	AIRCRAFT LANDED WITH GEAR UP. NO EVIDENCE OF MECHANICAL PROBLEMS.
19900112006359I	ROUGH ENGINE IN FLIGHT. EMERGENCY LANDING IN PARKING LOT. CRANKSHAFT HAD FAILED.
19900112007139I	LOSS OF OIL PRESSURE AND POWER. SHUT ENGINE DOWN. RETURNED TO PORTLAND. REPLACED ENGINE.
19900112024679I	PASSED THROUGH ICING ON CLIMBOUT. CYCLED BOOTS. NACELLE BOOTS CAME LOOSE. HAD PRIOR DAMAGE AND POOR ADHESION.
19900113000499A	ENGINE QUIT EN ROUTE. NOSED OVER LANDING IN A FIELD. NO ENGINE DEFECTS FOUND.
19900113000519I	LEFT WING TIP STRUCK AN UNLIGHTED CONSTRUCTION BARRICADE WHILE TAXIING TO HANGAR.
19900113001239A	RIGHT MAIN AXLE BROKE ON TOUCHDOWN SEPARATING THE WHEEL. AIRCRAFT VEERED RIGHT, HIT LEFT WING. FATIGUE CRACK.
19900113002139A	IGNORED VNR ADVICE. TRIED TO STAY ON TOP ABOVE FL180. NO OXYGEN. COLLIDED WITH MOUNTAIN.
19900113003309I	PILOT ACCIDENTALLY RAISED LANDING GEAR INSTEAD OF FLAPS ON ROLLOUT.
19900113007149I	STUDENT PRACTICING CROSSWIND LANDING WITH INSTRUCTOR. ON ONE LANDING BANK ANGLE CAUSED WING TIP TO SCRAPE RUNWAY.
19900113007309I	UNABLE TO GET NOSE GEAR DOWN SAFE LIGHT. LANDED WITH MAINS DOWN AND NOSE GEAR UP.
19900113008359I	PILOT FAILED TO LOWER GEAR ON A TOUCH AND GO LANDING. LANDED WITH GEAR RETRACTED.
19900113008429I	STABILIZER TRIM WARNING AND PROBLEMS. RETURNED. REPLACED MAIN TRIM AND CRUISE TRIM ACTUATORS.
19900113008749I	NR2 ENGINE BACKFIRING AT CRUISE. NR3 ENGINE HAD SAME LANDING. PRECAUTIONARY LANDING. SUSPECT CYLINDERS ON ENGINE.
19900113009789I	PASSENGER SMOKING IN NON SMOKING AREA. ABUSIVE TO FLIGHT ATTENDANT AND SMOKED IN LAVATORY. POLICE MET FLIGHT.
19900113010069I	HIT A TUG AND GROUND POWER UNIT THAT WAS PARKED IN FRONT OF AIRCRAFT WHEN IT STARTED TO TAXI FOR TAKEOFF.
19900113023699I	MADE LOW APPROACH TO WRONG RUNWAY. LANDED SAFELY ON WRONG RUNWAY. WAS SUFFERING FROM ONSET OF SUBDURAL HEMATOMA.
19900114000579A	LOST POWER EN ROUTE. LANDED GEAR UP IN SOFT FIELD AND SLID INTO A FENCE. INTAKE TAPPET BODY FACES FAILED.
19900114000589A	ON LANDING, WENT OFF LEFT SIDE OF RUNWAY AND STRUCK TREES AND BUSHES.
19900114000599A	GUST OF WIND LIFTED A WING ON LANDING ROLL. AIRCRAFT VEERED OFF RUNWAY AND COLLIDED WITH DRAINAGE DITCH.
19900114000639A	STRUCK A TREE AND CRASHED WHILE TURNING FINAL FOR PRIVATE STRIP. PILOT REPORTED SETTING SUN BLINDED HIM.
