c5	remark
19800104000599A	MADE HARD AUTOROTATION LANDING ON HIGHWAY MEDIAN WHEN ENGINE QUIT. AIRCRAFT BOUNCED. ROLLED OVER.
19800104000619A	PILOT MADE A HARD LANDING. NOSE GEAR COLLAPSED.
19800104001249A	STUDENT LOST CONTROL OF AIRPLANE ON LANDING ROLL. AIRCRAFT VEERED OFF RUNWAY INTO A SNOWBANK. CFI HAD NO BRAKES.
19800104001599A	STUDENT LOST CONTROL OF AIRCRAFT ON LANDING. CFI UNABLE TO PREVENT AIRCRAFT VEERING OFF RUNWAY. AIRCRAFT NOSED OVER
19800104001609A	RIGHT MAIN GEAR COLLAPSED ON LANDING ROLL.NO LANDING GEAR DEFECTS NOTED.POSSIBLE INADVERTENT RETRACTION ON RUNWAY.
19800104004139A	STUDENT PILOT MISJUDGED DISTANCE TO A TRUCK ON EDGE OF TAXIWAY. WING HIT TRUCK. AIRCRAFT PIVOTED INTO TRUCK.
19800104004149A	LANDED GEAR UP. GEAR HORN SET AT CLOSED THROTTLE. FAILED TO CHECK GEAR DOWN.
19800104007309A	AIRCRAFT DEVELOPED HIGH SINK RATE ON LANDING DUE TO ICE ON AIRCRAFT. IMPACTED RUNWAY, COLLAPSING LANDING GEAR.
19800104011989I	NUMBER 4 CONNECTING ROD FAILED CAUSING HOLE ON TOP SIDES OF CRANKCASE HALVES. IMPROPER INSTALLATION OF ROD BOLTS.
19800104012019I	NOSE GEAR FAILED TO EXTEND DUE TO IMPROPER INSTALLATION OF PN400-008 FORWARD ATTACH BOLT.
19800104012039I	ON TAKEOFF FROM FARM STRIP, AIRCRAFT HIT SOFT SPOT WITH LEFT MAIN GEAR. AIRCRAFTVEERED & GEAR DUG IN AND SNAPPED.
19800104012049I	OIL LEAKING INTO CABIN AIR CONDITIONING CAUSED SMOKE. BROKEN COOLING TURBINE. AIRESEARCH PN 5719351 WAS REPLACED.
19800104013259I	FOREIGN CARRIER REPORTED A STUCK HORIZONTAL STABILIZER. AFTER LANDING A SHEAR PIN IN THE DRIVE UNIT FOUND SHEARED
19800104013389I	RIGHT ENGINE FAILED IN FLIGHT DUE TO FAILURE PN LW12596 CONNECTING ROD CAP BOLT.
19800104013699I	ENGINE SURGE WITH GRADUAL LOSS OF POWER ON TAKEOFF. PILOT UNFAMILIAR WITH LOWER DRAIN SUMP WHICH CONTAINED WATER
19800104013709I	ON TAXI INTO GATE, AIRCRAFT SCRAPED TOP OF SNOW BLOWER WITH BOTTOM OF RIGHT WING.
19800104013719I	PRACTICING ROUGH FIELD LANDING, BOUNCED AND ON SECOND IMPACT, LEFT GEAR FOLDED. DAMAGE TO LEFT WINGTIP PROP & GEAR
19800104021269A	NOSE WHEEL FELL INTO GOPHER HOLE WHILE TAXIING TO PARK ON DIRT RAMP. IMPACT SEVERED NOSE GEAR.
19800105000119A	FLT INSTRUCTOR ALLOWED STUDENT TO HIT SHORT OF RUNWAY DURING PRACTICE CROSSWIND LNDG. POSSIBLE WINDSHEAR.
19800105000309A	ON TAKEOFF STUDENT PILOT DRIFTED OF RUNWAY ALIGNMENT. ABORTED. LANDED ON SIDE OF RUNWAY, NOSED OVER IN DITCH.
19800105000319A	MADE DEPARTURE WITHOUT WARMING ENGINE. LOST OIL PRESSURE. ENGINE FROZE, HIT WIRE LANDING IN A FIELD.
19800105000649A	TAIL ROTOR PITCH CONTROL BOLTS BECAME LOOSE. LOST DIRECTIONAL CONTROL. MADE HARD LANDING DUE TO LOW ROTOR RPM.
19800105000749A	BOUNCED ON LANDING, VERRED OFF CENTERLINE, WING HIT TREES.SKIDDED SIDEWAYS INTO A TREE. WATER ON RUNWAY.
19800105011789I	CO-PILOT BUMPED FLAP HANDLE TO APPROACH POSITION IN FLIGHT.
19800105013399A	WITH THROTTLE CONTROL FORWARD ON HAND PROPPING, AIRCRAFT STARTED. HIT PARKED AIRCRAFT, GROUND LOOPED AND HIT HANGAR
19800105013409I	ON TAKEOFF ROLL, LEFT TIRE BLEW AND DURING ABORTED TAKEOFF OTHER LEFT TIRE BLEW. WHEELS AND GEAR DOOR DAMAGE.
19800105013419I	#3 SLAT INDICATOR SHOWED IN TRANSIT. VISUAL SIGHTING SHOWED FLAP RETRACTED. REPLACED SLAT SWITCH.
19800105013439I	CABLE WHICH HOLDS TAILWHEEL IN THE LOCKED POSITION SNAPPED. TAILWHEEL COLLAPSED ON LANDING.
19800105013639I	PILOT TOOK OFF WITH RIGHT GENERATOR INOPERATIVE. LEFT GENERATOR FAILED IN FLIGHT. PILOT LANDED GEAR UP.
19800105013689I	PILOT DID NOT REMEMBER SEEING GEAR SAFE LIGHT IN PRELANDING CHECK.
19800106000129A	PILOT LOST DIRECTIONAL CONTROL OF AIRCRAFT ON LANDING ROLL. PILOT REPORTED HE RELAXED CONTROLS TOO SOON ON LANDING.
19800106000269A	NOSED OVER IN SNOWDRIFT, LANDING ON SNOW AND ICE COVERED STRIP.
19800106000499A	ENGINE QUIT. FLIPPED OVER ON EMERGENCY LANDING IN PASTURE. FUEL SELECTOR BETWEEN TANKS.
19800106000559A	TAXIED FOR TAKEOFF IN KNOWN SEVERE GUSTY SURFACE WIND. AIRCRAFT WAS BLOWN OVER BY WIND.
19800106000589A	WING FAILED AT ATTACH SECTION DURING LOW LEVEL SNAP ROLL OVER AIRPORT. ATTACH BOLTS WEAKENED BY HARD LANDINGS.
19800106001099A	OPERATED VFR INTO KNOWN ICING. WINDSHIELD ICED OVER. MADE HARD LANDING AT DESTINATION. NO DEICE EQUIPMENT.
19800106003489A	LANDED LONG AND FAST, PORPOISED, RAN OFF END RUNWAY OVER EMBANKMENT.
19800106010459I	SPILLAGE OF HAZARDOUS MATERIAL IN PASSENGERS CHECKED BAGGAGE.
19800106010999I	TOWER REPORTED SMOKE AND FLAME AT REAR OF AIRCRAFT DURING TAXI. FOUND MALFUNCTIONING HEATER.
19800106011009I	STUDENT PILOT LOST DIRECTIONAL CONTROL OF AIRCRAFT. SNOW PACKED BETWEEN WHEEL AND WHEEL PANTS.
19800106011019I	RUNWAY NOT LIGHTED. SNOW AND ICE COVERED. PILOT MISJUDGED INTERSECTION, TURNED TOO SOON.
19800106011029I	PILOT LOST DIRECTIONAL CONTROL ON ICY RUNWAY.
19800106011039I	PILOT MISUNDERSTOOD TOWER INSTRUCTION. CONTROLLER CLEARANCE IN ERROR. DISCUSSED WITH TOWER AND PILOT.
19800106011059I	AIRCRAFT TOUCHED DOWN ON PARTIAL EXTENDED MAIN GEAR AND PROPELLER. MINOR DAMAGE GEAR DOORS AND PROPELLER.
19800106011069I	SKYDIVER KILLED WHEN JUMPER FAILED TO OPEN CHUTES. BOTH CHUTES WERE SUCCESSFULLY DEPLOYED DURING INVESTIGATION..
19800106011079I	UNCONTROLLABLE CABIN PRESSURE. OUTFLOW VALVE JAMMED OPEN.
19800107000289A	ENGINE LOST POWER. TRIED TO RETURN. FLEW AIRCRAFT INTO GROUND SHORT OF LANDING AREA. POSSIBLE WATER IN FUEL.
19800107000329A	ENGINE RAN ROUGH. TRIED TO LAND ON A DIRT ROAD. AIRPLANE HIT TRASH PILE ON ROLL-OUT. CONTAMINATED FUEL.
19800107012059I	LANDED GEAR UP. SUBSEQUENT CHECK INDICATED NORMAL GEAR OPERATION.
19800107012269I	PASSENGERS BAGGAGE CONTAINED FIREWORKS WHICH IGNITED AND SMOULDERED. EMERGENCY DECLARED. NO FIRE.
19800107013429I	FLIGHT CABIN PRESSURE LIGHT CAME ON. DROP IN THRUST IN NO. 2 ENGINE. FEATHERED ENGINE AND RETURNED TO LAND.
19800107013479I	UNABLE TO EXTEND FLAPS BEYOND TEN DEGREES. MAINTENANCE REPLACED FLAP ASSYMETRY COMPARATOR UNIT.
19800107013489I	PILOT CHECKING FUEL. TOOK OFF WITH ONE TANK INDICATING EMPTY. THE OTHER INDICATED ONE QUARTER. RAN OUT IN FLIGHT
19800107013659I	PILOT STRUCK RUNWAY LIGHT. CLAIMS ICE & SNOW ON RUNWAY. NOT SUBSTANTIATED BY FSS. VIOLATION INVESTIGATION.
19800107013669I	ENGINE ROUGH. BROKEN EXHAUST ROCKER ARM, BENT PUSH ROD. ENGINE 1950 HOURS.
19800108000079A	LOW ON FUEL. ATC DELAYED VECTORS TO NEAREST ARPT. GAVE HIM WRONG RWY LENGTH. PILOT LANDED DOWNWIND. RAN OFF END RWY
19800108000469A	AIRCRAFT CRASHED IMMEDIATELY AFTER TAKEOFF DURING LIGHT TWIN TRAINING SESSION.
19800108000609A	VEERED OFF THE RUNWAY AND INTO A DITCH ON LANDING ROLL. LEFT TIRE SKID MARKS. BRAKES OKAY.
19800108000769A	PILOT CAUGHT IN THUNDERSTORMS. ATTEMPTED TO RETURN TO AIRPORT BUT COLLIDED WITH HIGH TERRAIN.
19800108011949I	LEFT ENGINE COWLING LATCH WORKED LOOSE DURING FLIGHT.
19800108011959I	ACCESS DOOR NOTICED OPEN IMMEDIATELY AFTER TAKEOFF. PILOT RETURNED TO AIRPORT. HAD DOOR CLOSED. FLIGHT DELAYED.
19800108011969I	PILOT HAND-PROPPED PLANE. ENGINE STARTED. AIRCRAFT HIT HANGAR. DAMAGED AUTOMOBILE, HANGAR AND HELICOPTER.
19800108012089I	WHILE TURNING OFF RUNWAY LEFT PROPELLER STRUCK RUNWAY LIGHT DAMAGING RUNWAY LIGHT AND PROPELLER.
19800108013679I	PILOT FORGOT TO EXTEND LANDING GEAR.
19800108014369I	PILOT JUMP-STARTED PLANE USING AUTOMOBILE. WIFE ON GROUND. BACKED INTO PROPELLER.
19800108014379I	RIGHT PROPELLER PILOT TUBE FAILED. EXCESS FUEL ENTERED ENGINE CAUSING FLAMES.
19800108014389I	PILOT MISSED TAXIWAY AND STRUCK RUNWAY MARKER. DAMAGED PROPELLER AND BROKE RUNWAY MARKER.
19800108014399I	THE AIRCRAFT NARROWLY MISSED THE CONTROL TOWER WHILE MAKING A MISSED APPROACH FROM AN ILS APPROACH.
19800108014409I	CONNECTING ROD CAME THROUGH TOP OF CRANKCASE. M AND D REPORT HAS BEEN SUBMITTED ON THIS FAILURE.
19800108014419I	PILOT RAN AIRCRAFT OFF RUNWAY DURING TAXI. RUNWAY LIGHTS OUT. PILOT AWARE NOTAM TO THAT EFFECT.
19800108014429I	STUDENT LOST CONTROL OF AIRCRAFT WHILE LANDING AND CRASHED ON RUNWAY.
19800108014469I	DEFECTIVE SWITCH IN HORIZONTAL STABILIZER TRIM WARNING SYSTEM. CREW ABORTED TAKEOFF.
19800109001489A	ELECTRIC POWER LOSS WHEN GEAR WAS EXTENDED. GEAR COLLAPSED ON LANDING ROLL. PILOT FAILED TO USE EMERGENCY EXTENSION
19800109011879I	OIL PRESSURE DROPPED DURING CRUISE. PILOT MADE PRECAUTIONARY LANDING. NO CAUSE FOUND.
19800109011889I	FLAPS WOULD NOT RETRACT. MAINTENANCE CLEANED POSITION WARN LIGHT CONNECTOR AT NUMBER 8 SLAT ACTUATOR.
19800109011909I	PILOT REPORTED ICE PROTECTION HIGH TEMPERATURE LIGHT. FLIGHT CANCELLED. MAINTENANCE REPLACED FAULTY PARTS.
19800109011929I	LEFT PROP WOULD NOT COME OUT OF BETA RANGE ON TAKEOFF. TAKEOFF ABORTED. FOUND PROP FLUID LOW & PROP LEAKING AT VENT
19800109011939I	NOSE GEAR COLLAPSED AFTER LANDING ON ROLLOUT. NOSE GEAR DOWN LATCH HAD BROKEN.
19800109014489I	NOSE GEAR WOULD NOT EXTEND. HYDRAULIC POWER-PACK OUT OF FLUID. MAINTENANCE FAILED TO CHECK MAIN LINE. CORRODED HOLE
19800109014519I	LEFT MAIN GEAR WOULD NOT RETRACT. FOUND UPLOCK MECHANISM HOOK OUT OF ADJUSTMENT.
19800109014559I	TAIL ROTOR STRUCK GROUND AFTER A POWER-ON LANDING. MINOR DAMAGE TO TAIL ROTOR AND TAIL ROTOR GEAR BOX.
19800109014619I	NOSE GEAR COLLAPSED DURING LAND ROLL. DAMAGED PROPELLER AND NOSE GEAR.
19800109014629I	HOVERING AUTOROTATION. HARD LANDING.
19800110000029A	FLEW VFR AREA OF LOW CEILINGS & DENSE FOG. MADE HARD LANDING. IMPACT BROKE OR BENT WING SPARS.
19800110000239A	NOSE DOWN IMPACT ON LEVEL GROUND AFTER MISSED APPROACH. AIRCRAFT UNFAMILIAR TO PILOT. NEAR ZERO VISIBILITY.
19800110000429A	RAN OUT OF FUEL ON LOCAL APPROACH. LANDED IN ROCKY FIELD ONE MILE FROM RUNWAY.
19800110000569A	STRUCK MOUNTAIN RIDGE ON IFR CLIMBOUT FROM TAKEOFF. AIRPLANE OVER GROSS WEIGHT.
19800110005269A	ENGINE LOST POWER ON TAKEOFF. TRIED TO RETURN. AIRCRAFT HIT TREES OFF END OF RUNWAY. NO ENGINE RUNUP, NO CARB HEAT.
19800110012079I	LANDING GEAR MOTOR FAILED. PILOT USED EMERGENCY PROCEDURES AND EXTENDED GEAR WITHOUT INCIDENT.
19800110012279I	GEAR SELECTOR WAS IN DOWN POSITION. PILOT FORGOT TO CHECK GEAR LIGHTS AND HORN PRIOR TO LANDING.
19800110014639I	PILOT HAD GREEN GEAR DOWN LIGHT, HOWEVER GEAR WAS NOT DOWN. GEAR SELECT HANDLE WAS DOWN. CIRCUIT BREAKER POPPED.
19800110014649I	ENCOUNTERED SPLIT FLAP CONDITION WHEN FLAPS LOWERED FOR LANDING. ASYMMETRY CABLE REPLACED.
19800110014659I	HYDRAULIC WARNING LIGHT DUE TO LOSS OF FLUID. BROKEN ALUMINUM HYDRAULIC LINE FOUND BY MAINTENANCE.
19800110014669I	LANDING GEAR WOULD NOT RETRACT. BOGIE POSITIONER WAS REPLACED. PART RETURNED TO TWA FOR FURTHER ANALYSIS.
19800110014689I	PILOT RAN OFF TAXIWAY. POOR RUNWAY TAXIWAY MARKING AND LIGHTING. LEFT PROPELLER DAMAGED.
19800110014719I	TAXIED AIRCRAFT IN HIGH WIND. AIRCRAFT BLEW OVER.
19800110014729I	WINDSHIELD CRACKED IN FLIGHT.
19800111000089A	HELICOPTER HIT WIRES ON APPROACH TO LANDING SITE. FELL STRAIGHT DOWN AFTER WIRE STRIKE.
19800111000149A	VFR RATED PILOT IN CLOUDS AND ICING LOST ALTIMETER AND AIRSPEED. HIT GROUND ON APROACH. NO DEICE EQUIPMENT.
19800111000219A	CONTINUED CLIMB ABOVE ASSIGNED ALTITUDE TO ABSOLUTE CEILING. WRONG HEADING.
19800111000229A	LOST RUNWAY ALIGNMENT ON TAKEOFF ROLL. HIT SNOW BANK. FACTORS, WHITEOUT EFFECT, INADEQUATE RUNWAY LIGHTS.
19800111000369A	PILOT STATED SUN BLINDED HIM ON LANDING. AIRCAFT DRIFTED  OFF RUNWAY DUE TO CROSSWIND. STARTED GO AROUND. HIT TREES
19800111000389A	LANDED ON BEACH. ACFT NOSED UP IN SOFT SAND.
19800111000409A	ENGINE QUIT WHILE RETURNING TO BASE. LANDED SOFT FIELD, FLIPPED OVER. FOUND WATER IN FUEL.
19800111000699A	WIND GUST PICKED UP WING ON LANDING. DRAGGED OTHER WING. AIRCRAFT CARTWHEELED OFF RUNWAY.
19800111000829A	CROSSWIND PICKED UP WING OF AIRCRAFT AND FLIPPED IT OVER OFF SIDE OF RUNWAY ON TAKEOFF. EXCEEDED CROSSWIND FACTOR
19800111000979A	LANDED IN HEAVY RAIN WITH SEVERE CROSSWIND. HYDROPLANED, SKIDDED OFF RUNWAY. GROUND-LOOPED. COLLAPSED GEAR.
19800111013269I	MADE DOWNWIND LANDING BECAUSE OF LOW FUEL. RAN OFF RUNWAY.
19800111013449I	NOSE GEAR FAILED TO EXTEND ON APPROACH. EXCESSIVE BINDING IN NOSE GEAR PIVOT POINTS DUE TO SAND PICKED UP ON RAMPS
19800111013469I	TAXIING FOR TAKEOFF, HIT SNOW BERM WITH LEFT PROP. ABORTED TAKEOFF DUE TO VIBRATION AND WHITEOUT CONDITIONS.
19800111013499I	RPM DROPPED TO 1500 AND COULD NOT BE INCREASED. ON TOUCHDOWN, NOSE WHEEL HIT SOFT, WET DIRT AND PLANE FLIPPED OVER.
19800111013509I	WHILE TAXIING, A GUST OF WIND BLEW AIRCRAFT ON ITS NOSE AND WING TIP. ANOTHER GUST BLEW IT ON ITS BACK.
19800111013519I	TRAILING EDGE FLAP ASYMMETRY TRIP ON TAKEOFF. INBOARD TRAILING EDGE FLAP JACK SCREWS LUBRICATED.
19800111013609I	ON SECOND SOLO LANDING, STUDENT OVERRAN END OF RUNWAY. ENGINE MOUNT BENT AND RIGHT WINGTIP SLIT AND TAILCONE DAMAGE
19800111013619I	PUSH-PULL TUBE ASSEMBLY PN 0842121-1 WAS BROKEN, PROBABLY DUE TO RETRACTION WITH FLAT NOSEGEAR STRUT.
19800112000139A	WEATHER DETERIORATED SUDDENLY WITH STUDENT PILOT IN PATTERN. STUDENT FLEW INTO CLOUDS, LOST CONTROL. CRASHED IN BAY
19800112000439A	VFR PILOT IN A MOUNTAIN PASS AT DUSK FLEW INTO FOG & RAIN. LOST GROUND REFERENCE. STRUCK GROUND.
19800112000689A	PILOT LOST DIRECTIONAL CONTROL ON INITIAL LANDING ROLL. AIRCRAFT VEERED OFF SIDE OF RUNWAY. HIT DITCH.
19800112000809A	ENGINE FAILED TO DEVELOP FULL POWER ON TAKE OFF. ABORTED. HIT SNOWBANK. ICE IN FUEL. FRIGID TEMPERATURE.
19800112000849A	STUDENT PILOT REPORTED LEFT BRAKE LOCKED UP ON LANDING ROLL. VEERED OFF RUNWAY. NO BRAKE DEFECT FOUND.
19800112014839I	NOSE GEAR DID NOT EXTEND. NOSE GEAR FENDER SUPPORT BRACKET BROKE AND JAMMED, CAUSING RETRACTION ARM TO BREAK.
19800112014849I	PILOT ATTEMPTED CROSSWIND LANDING ON ICY RUNWAY. AIRCRAFT SLID OFF RUNWAY.
19800112014859I	AIRCRAFT WOULD NOT PRESSURIZE ON CLIMBOUT. LEFT SYSTEM DISCONNECTED AS PER MEL. SUBSEQUENT MAINTENANCE CHECKED OK.
19800112014869I	FRICTION LOCK NOT SET. POWER LEVERS RETURNED TO IDLE WHEN PILOT RELEASED THEM TO RETRACT GEAR.
19800112014879I	NIGHT TAKEOFF AT INTERSECTION, NOT PROPERLY ALIGNED WITH RUNWAY, STRUCK SNOWBANK.
19800112014889I	#4 ENGINE SHUTDOWN DURING DESCENT. ENGINE WENT INTO REVERSE THRUST. FOUND BELT MISSING FROM ENGINE POWER LEVER ROD
19800112014899I	RIGHT WHEEL SEPARATED FROM HUB ON TAKEOFF. PILOT CIRCLED FOR SUCCESSFUL LANDING. NO OTHER DAMAGE.
19800112014909I	BIENNIAL FLIGHT REVIEW. PREOCCUPIED WITH LANDING AND FORGOT TO EXTEND GEAR.
19800112014919I	LANDING GEAR COLLAPSED DURING ROLLOUT. SUSPECT INADVERTENT RETRACTION.
19800112014929I	CONTROLS NOT LOCKED DURING OVERNIGHT WIND. CONTROL CABLE OFF PULLEY.
19800112015009I	PILOT HAD STABILIZER DIFFICULTIES IN FLIGHT. POSSIBILITY OF ICE SUSPECTED. LUBRICATED SCREW JACK, BACK IN SERVICE
19800112044079A	PILOT CONTINUED IFR FLIGHT INTO AREA OF SEVERE TURBULENCE.CRASHED IN MOUNTAINOUS AREA.
19800113000039A	DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.
19800113000099A	LOST DIRECTIONAL CONTROL ON LANDING IN A CROSSWIND. VEERED OFF SIDE OF RUNWAY IN A SNOWBANK
19800113000199A	BLOCKED INTO VALLEY BY CLOUDS & SNOWSHOWERS ON MOUNTAINS & NEAR DARK. RAN OFF END ROAD LANDING IN GUSTY CROSSWIND.
19800113000379A	PILOT FAILED TO CHECK GEAR DOWN AND LOCKED PRIOR TO LANDING. LANDED GEAR UP. GEAR HORN INOPERATIVE.
19800113000479A	STUDENT MADE FIRST TRY TO LAND AT PRIVATE FIELD IN BAD WX. TRIED TO GIVE THROW-OVER WHEEL TO CFI. REFUSED. HIT TREE
19800113001479A	STUDENT PILOT LANDED IN SEVERE CROSSWIND. LOST CONTROL OF AIRCRAFT IN WIND-INDUCED SKID.
19800113012139I	CG LEFT MAIN GEAR BROKEN. STRUCK SNOW CHUNK DURING TAKEOFF.
19800113012149I	MAIN LANDING GEAR SIDE BRACE BROKE ON ROLLOUT.
19800113012179I	STUDENT MADE RAPID POWER CHANGE. ENGINE QUIT. LANDED IN PLOWED FIELD. INSTRUCTORREEXAMINED ON TECHNIQUIE FOR GLIDER
19800113012209I	AIRCRAFT STRUCK PATCH OF FROZEN WATER ON SOD STRIP NEAR END OF LANDING ROLL.
19800113012219I	TURBINE ENGINE FAILED IN COMPRESSOR SECTION. BLEW OUT 13TH STAGE DUCT.
19800113014939I	PILOT FORGOT TO EXTEND LANDING GEAR.
19800113014949I	RPM DROPPED. PILOT APPLIED CARB HEAT AND ENGINE QUIT. PILOT MADE FORCED LANDING IN SNOW COVERED FIELD.
19800113014959I	NUMBER ONE ENGINE STRUT OVERHEAT LIGHT ILLUMINATED. MALFUNCTION IN STUB DUCT SENSOR.
19800113014969I	ENGINE LOST RPM AND OIL PRESSURE. PILOT MADE EMERGENCY LANDING. BLOWN GASKET. M&D REPORT SUBMITTED.
